"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ihearts1","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I feel out of place in most situations because of my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts2","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Having this health condition(s) has ruined my life","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts3","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: People without my health condition(s) could not possibly understand me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts4","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I am embarrassed or ashamed that I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts5","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I am disappointed in myself for having this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts6","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I blame myself for my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts7","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I feel that I am a lesser person compared to others who don't have my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts8","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I think that negative stereotypes (or assumptions) about people with my health condition(s) are true of me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts9","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't think that people with my health condition(s) can live a good, rewarding life","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts10","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't think I can contribute as much to society as other people can because of my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts11","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't think I'm appealing as a romantic partner because of my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts12","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: People treat me unfairly because I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts13","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Other people think that I can't achieve much in life because I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts14","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: People ignore me because I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts15","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: People take me less seriously because I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts16","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Other people don't believe that my health condition(s) really affects me as much as I say","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts17","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: Most people would not be interested in getting close to me because I have this health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts18","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: If employers knew I had this health condition(s), they would be less likely to hire me","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts19","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't share much about myself with others because I don't want to burden them with my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
"ihearts20","Integer","","Recommended","Please think about your health condition(s) and rate your agreement with the following in the past month: I don't spend much time with other people because I worry what they will think of me due to my health condition(s)","1::7","1=Strongly disagree; 7=Strongly agree",""
