"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"resilience1","Integer","","Recommended","I can handle negative comments about my gender identity without letting it affect me.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"resilience2","Integer","","Recommended","I remain positive even when I face discrimination because of my gender identity","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"resilience3","Integer","","Recommended","I know how to stand up for myself when others invalidate my identity.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"coping1","Integer","","Recommended","I have healthy ways to cope when I face stress related to my gender identity","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"coping2","Integer","","Recommended","When I encounter challenges because of my gender identity, I know how to handle them.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower1","Integer","","Recommended","I feel supported by my friends when it comes to my gender identity.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower2","Integer","","Recommended","I feel like I belong to a community that supports transgender people.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower3","Integer","","Recommended","I feel confident in standing up for my rights as a transgender woman.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower4","Integer","","Recommended","I am able to seek help and resources when I need them for my gender-affirming","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower5","Integer","","Recommended","I feel comfortable expressing my gender identity in public spaces","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
"empower6","Integer","","Recommended","I am proud of who I am as a transgender woman.","1::5;-10","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -10=Missing",""
