"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mul6_1","Integer","","Recommended","1. While watching TV, you find that you are thinking about something else.","0::10","0= Never; 10= Always","mid_1"
"mul6_2","Integer","","Recommended","2. Forgetting what you did earlier in the day.","0::10","0= Never; 10= Always","mid_2"
"mul6_3","Integer","","Recommended","3. Feeling as if your body (or certain parts of it) are unreal.","0::10","0= Never; 10= Always","mid_3"
"mul6_4","Integer","","Recommended","4. Having an emotion (for example, fear, sadness, anger, happiness) that doesnt feel like it is yours.","0::10","0= Never; 10= Always","mid_4"
"mul6_5","Integer","","Recommended","5. Things around you suddenly seeming strange.","0::10","0= Never; 10= Always","mid_5"
"mul6_6","Integer","","Recommended","6. Hearing the voice of a child in your head.","0::10","0= Never; 10= Always","mid_6"
"mul6_7","Integer","","Recommended","7. Having pain in your genitals (for no known medical reason).","0::10","0= Never; 10= Always","mid_7"
"mul6_8","Integer","","Recommended","8. Having another personality that sometimes takes over.","0::10","0= Never; 10= Always","mid_8"
"mul6_9","Integer","","Recommended","9. Hearing yourself talk, but you dont feel that you are choosing the words that are coming out of your mouth.","0::10","0= Never; 10= Always","mid_9"
"mul6_10","Integer","","Recommended","10. Forgetting errands that you had planned to do.","0::10","0= Never; 10= Always","mid_10"
"mul6_11","Integer","","Recommended","11. Feeling that your mind or body has been taken over by a famous person (for example, Elvis Presley, Jesus Christ, Madonna, President Kennedy, etc.).","0::10","0= Never; 10= Always","mid_11"
"mul6_12","Integer","","Recommended","12. Trying to make someone jealous.","0::10","0= Never; 10= Always","mid_12"
"mul6_13","Integer","","Recommended","13. Feeling as if close friends, relatives, or your own home seems strange or foreign.","0::10","0= Never; 10= Always","mid_13"
"mul6_14","Integer","","Recommended","14. Reliving a traumatic event so vividly that you totally lose contact with where you actually are (that is, you think that you are back there and then).","0::10","0= Never; 10= Always","mid_14"
"mul6_15","Integer","","Recommended","15. Having difficulty swallowing (for no known medical reason).","0::10","0= Never; 10= Always","mid_15"
"mul6_16","Integer","","Recommended","16. Having trance-like episodes where you stare off into space and lose awareness of what is going on around you.","0::10","0= Never; 10= Always","mid_16"
"mul6_17","Integer","","Recommended","17. Being puzzled by what you do or say.","0::10","0= Never; 10= Always","mid_17"
"mul6_18","Integer","","Recommended","18. Seeing images of a child who seems to live in your head.","0::10","0= Never; 10= Always","mid_18"
"mul6_19","Integer","","Recommended","19. Being told of things that you had recently done, but with absolutely no memory of having done those things.","0::10","0= Never; 10= Always","mid_19"
"mul6_20","Integer","","Recommended","20. Thoughts being imposed on you or imposed on your mind.","0::10","0= Never; 10= Always","mid_20"
