"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"prep_stigma1","Integer","","Recommended","Are you afraid people you care about will stop calling after learning you have started or thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)?","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma2","Integer","","Recommended","Are you afraid of losing friends if you tell them you have started or thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)?","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma3","Integer","","Recommended","Some people might avoid touching you once they know you have started or thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma4","Integer","","Recommended","You would work hard to keep your use of PrEP (Pre-exposure prophylaxis for HIV prevention) a secret","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma5","Integer","","Recommended","Telling someone you have thought of using PrEP (Pre-exposure prophylaxis for HIV prevention) is risky","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma6","Integer","","Recommended","You will be very careful who you tell that you have thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma7","Integer","","Recommended","Most people you know believe a person who takes PrEP (Pre-exposure prophylaxis for HIV prevention) is immoral","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma8","Integer","","Recommended","People you know who take PrEP (Pre-exposure prophylaxis for HIV prevention) are treated like outcasts","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma9","Integer","","Recommended","Most people you know are uncomfortable around someone who takes PrEP (Pre-exposure prophylaxis for HIV prevention)","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma10","Integer","","Recommended","You feel guilty because you have thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma11","Integer","","Recommended","People's attitudes about using PrEP (Pre-exposure prophylaxis for HIV prevention) make you feel worse about yourself","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
"prep_stigma12","Integer","","Recommended","You feel you are not as good a person as others because you have thought of using PrEP (Pre-exposure prophylaxis for HIV prevention)","1::4;999","1= Strongly disagree; 2= Disagree; 3= Agree; 4= Strongly agree; 999= Missing/Unknown",""
