"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"m_9l1001","Integer","","Recommended","Before a good thing happens, I look forward to it in ways that give me pleasure in the present.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_1"
"m_9l1002","Integer","","Recommended","It's hard for me to hang onto a good feeling for very long.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_2"
"m_9l1003","Integer","","Recommended","I enjoy looking back on happy times from my past.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_3"
"m_9l1004","Integer","","Recommended","I don't like to look forward to good times too much before they happen.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_4"
"m_9l1005","Integer","","Recommended","I know how to make the most of a good time.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_5"
"m_9l1006","Integer","","Recommended","I don't like to look back at good times too much after they've taken place.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_6"
"m_9l1007","Integer","","Recommended","I feel a joy of anticipation when I think about upcoming good things.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_7"
"m_9l1008","Integer","","Recommended","When it comes to enjoying myself, I'm my own 'worst enemy'.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_8"
"m_9l1009","Integer","","Recommended","I can make myself feel good by remembering pleasant events from my past.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_9"
"m_9l1010","Integer","","Recommended","For me, anticipating what upcoming good events will be like is basically a waste of time.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_10"
"m_9l1011","Integer","","Recommended","When something good happens, I can make my enjoyment of it last longer by thinking of doing certain things.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_11"
"m_9l1012","Integer","","Recommended","When I reminisce about pleasant memories, I often start to feel sad or disappointed.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_12"
"m_9l1013","Integer","","Recommended","I can enjoy pleasant events in my mind before they actually occur.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_13"
"m_9l1014","Integer","","Recommended","I can't seem to capture the joy of happy moments.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_14"
"m_9l1015","Integer","","Recommended","I like to store memories of fun times that I go through so that I can recall them later.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_15"
"m_9l1016","Integer","","Recommended","It's hard for me to get very excited about fun times before they actually take place.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_16"
"m_9l1017","Integer","","Recommended","I feel fully able to appreciate good things that happen to me.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_17"
"m_9l1018","Integer","","Recommended","I find that thinking about good times from the past is basically a waste of time.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_18"
"m_9l1019","Integer","","Recommended","I can make myself feel good by imagining what a happy time that is about to happen will be like.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_19"
"m_9l1020","Integer","","Recommended","I don't enjoy things as much as I should.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_20"
"m_9l1021","Integer","","Recommended","It's easy for me to rekindle the joy from pleasant memories.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_21"
"m_9l1022","Integer","","Recommended","When I think about a pleasant event before it happens, I often start to feel uneasy or uncomfortable.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_22"
"m_9l1023","Integer","","Recommended","It's easy for me to enjoy myself when I want to.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_23"
"m_9l1024","Integer","","Recommended","For me, once a fun time is over and gone, it's best not to think about it.","1::7;999","1= Strongly disagree; 2= Disagree; 3= Somewhat disagree; 4= Neutral; 5= Strongly agree; 6= Agree; 7= Strongly agree; 999= Prefer not to respond","sbi_24"
