"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","","pid"
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","xrdate"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sdis_5"
"gender_identity","Integer","","Recommended","","Gender identity: Do you identify as:","1::12","1 = Female; 2 = Male; 3 = Other; 4 = Agender; 5 = Nonbinary/Fluid; 6 = Transgender female; 7 = Transgender male; 8 = Genderqueer; 9 = Do not wish to report; 10 = Multiple Identities Listed; 11 = Non-binary; 12 = Genderfluid",""
"gender_identity_descrip","String","200","Recommended","","What is your gender? specify","","",""
"sexual_orientation","Integer","","Recommended","","Sexual Orientation- Do you identify as:","1::13","1 = Asexual; 2 = Bisexual; 3 = Gay; 4 = Lesbian; 5 = Pansexual; 6 = Queer; 7 = Questioning; 8 = Straight or heterosexual; 9 = Other; 10 = Homosexual; 11 = I am not sure yet; 12 = Multiple Orientations Listed; 13 = Decline to answer","sdis_6"
"sexual_orientation_descrip","String","200","Recommended","sexual_orientation == 9","What is your sexual orientation?","","","sdis_6_1"
"race","String","100","Recommended","","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","","race_identity,sdis_2"
"race_other","String","100","Recommended","","Race of Respondent Specify","","","race_identity_descrip"
"inc_hous","Integer","","Recommended","","What is your total household income?","1::9","1= $0-$9,999; 2= $10,000-$19,999; 3= $20,000-$29,999; 4= $30,000-$39,999; 5= $40,000-$49,999; 6= $50,000-$59,999; 7= $60,000-$69,999;  8= $70,000-$99,999; 9= $100,000 or more","income"
"religion_identity","Integer","","Recommended","","What is your Religion?","1::11;99","1= Christian; 2= Jewish; 3= Musli(m); 4= Buddhist; 5= Hindu; 6= Unaffiliated (Agnostic or Atheist); 7= Other; 8=Wicca/Pagan; 9=Prefer to self-describe; 10=Agnostic; 11=Atheist; 99=Prefer not to answer",""
"religion_identity_descrip","String","50","Conditional","religion_identity ==7","What do you identify your religion as?","","",""
"work_engage","String","50","Recommended","","What kind of work are (or were you most recently) engaged in? (e.g. electronics engineer, nursing, stock-clerk, etc.):","","",""
"industry","String","50","Recommended","","What kind of industry or organization is (was) your work in? (e.g. radio, manufacturing, retail, hospital, etc.):","","",""
"duties","String","50","Recommended","","What are (or were) your major or most important duties at work? (e.g. selling cars, caring for patients, keeping accounts, etc.):","","",""
"ethnicity","String","30","Recommended","","Ethnicity of participant","Hispanic or Latino; Not Hispanic or Latino; Unknown","","sdis_3"
"pt_edu_years","Float","","Recommended","","Participant's years of education","","101=Missing",""
"maritalstatus","Integer","","Recommended","","Marital Status:","0::6;-99;77;88","0= Married ; 1= Living together ; 2= Separated ; 3= Divorced ; 4= Single ; 5 = Widowed ; 6 = Civil Union ; -99= N/A ; 77= Refused ; 88= Missing",""
"timepoint_label","String","50","Recommended","","Timepoint/visit label","","",""
"campus08","Integer","","Recommended","","Are you an international student?","0;1","0= No; 1= Yes","sdis_11"
"campus09","Integer","","Recommended","","Did you transfer from another institution/campus to this school?","0;1","0= No; 1= Yes","sdis_12"
"campus10","Integer","","Recommended","","Are you registered with and/or receiving services from the office of disability services on this campus to receive accommodations and support your learning due to a disability?","0;1","0= No; 1= Yes","sdis_13"
"campus11","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Visual impairment or Blindness","0;1","0= No; 1= Yes","sdis_13__1"
"campus12","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Hearing impairment or Deafness","0;1","0= No; 1= Yes","sdis_13__2"
"campus13","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Difficulty speaking or language impairment","0;1","0= No; 1= Yes","sdis_13__3"
"campus14","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Mobility limitation/orthopedic impairment","0;1","0= No; 1= Yes","sdis_13__4"
"campus15","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Traumatic nrain Injury","0;1","0= No; 1= Yes","sdis_13__5"
"campus16","Integer","","Recommended","","Please indicate the category that best fits what you are receiving accommodations for due to a disability: Specific learning disability","0;1","0= No; 1= Yes","sdis_13__6"
