"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"wwid1","Integer","","Recommended","If someone were being mean to you, would you act like nothing happened?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid2","Integer","","Recommended","If someone were being mean to you, would you try to think of ways to stop it?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid3","Integer","","Recommended","If someone were being mean to you, would you tell a friend what happened?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid4","Integer","","Recommended","If someone were being mean to you, would you do something mean right back to them?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid5","Integer","","Recommended","If someone were being mean to you, would you go off by yourself?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid6","Integer","","Recommended","If someone were being mean to you, would you forget the whole thing?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid7","Integer","","Recommended","If someone were being mean to you, would you ask a friend what you should do?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid8","Integer","","Recommended","If someone were being mean to you, would you tell your parent or legal guardian what happened?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid9","Integer","","Recommended","If someone were being mean to you, would you hurt the kid who was mean to you?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid10","Integer","","Recommended","If someone were being mean to you, would you become so upset you cannot talk to anyone?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid11","Integer","","Recommended","If someone were being mean to you, would you tell yourself it doesn't matter?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid12","Integer","","Recommended","If someone were being mean to you, would you smoke cigarettes or e-cigarettes to help you relax?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid13","Integer","","Recommended","If someone were being mean to you, would you throw or hit something because you get angry?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid14","Integer","","Recommended","If someone were being mean to you, would you feel like crying?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid15","Integer","","Recommended","If someone were being mean to you, would you think about it for a long time?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid16","Integer","","Recommended","If someone were being mean to you, would you try and find out why it happened?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid17","Integer","","Recommended","If someone were being mean to you, would you tell the teacher what happened?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid18","Integer","","Recommended","If someone were being mean to you, would you yell at the kid who is being mean?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid19","Integer","","Recommended","If someone were being mean to you, would you blame yourself for doing something wrong?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid20","Integer","","Recommended","If someone were being mean to you, would you tell the mean kids you do not care?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid21","Integer","","Recommended","If someone were being mean to you, would you drink alcohol to help you forget about it for a while?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid22","Integer","","Recommended","If someone were being mean to you, would you change things to keep it from happening again?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid23","Integer","","Recommended","If someone were being mean to you, would you smoke marijuana (pot) to help you feel better?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid24","Integer","","Recommended","If someone were being mean to you, would you ask your parent or legal guardian what to do?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid25","Integer","","Recommended","If someone were being mean to you, would you use other drugs (e.g., prescription drugs not prescribed to you) to help you feel better?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid26","Integer","","Recommended","If someone were being mean to you, would you hurt the kid back?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid27","Integer","","Recommended","If someone were being mean to you, would you worry that other kids would not like you?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
"wwid28","Integer","","Recommended","If someone were being mean to you, would you ask the teacher what to do?","0::2","0 = Never; 1 = Sometimes; 2 = Most of the time",""
