"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"edq_1","Integer","","Recommended","I get really emotionally involved with my friend's problems.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_2","Integer","","Recommended","I feel very upset when my friend is upset about a problem.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_3","Integer","","Recommended","It hurts me a lot when my friend has a problem s/he is unhappy about.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_4","Integer","","Recommended","When my friend has a problem, it feels just like if it were my problem.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_5","Integer","","Recommended","I feel like I share my friend's upset feelings over her/his problems.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_6","Integer","","Recommended","I feel as upset about my friend's problems as if they were my own.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_7","Integer","","Recommended","It feels as though my friend's upset feelings over problems become my upset feelings too.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_8","Integer","","Recommended","I feel just as upset over my friend's problems as s/he does.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_9","Integer","","Recommended","If my friend is very upset over a problem, then I get very upset too.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_10","Integer","","Recommended","I feel very worried about my friend when s/he has a problem s/he is upset about.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_11","Integer","","Recommended","It makes me very sad to see my  friend hurting over a problem.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
"edq_12","Integer","","Recommended","It is hard for me to feel OK when my friend is upset about a problem s/he has.","0::4;-99","0=Does not describe me at all; 4=Describes me very well; -99=Missing",""
