"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"towre_a_1","Integer","","Recommended","ip","0;1","0=incorrect; 1=correct",""
"towre_a_2","Integer","","Recommended","ga","0;1","0=incorrect; 1=correct",""
"towre_a_3","Integer","","Recommended","ko","0;1","0=incorrect; 1=correct",""
"towre_a_4","Integer","","Recommended","ta","0;1","0=incorrect; 1=correct",""
"towre_a_5","Integer","","Recommended","om","0;1","0=incorrect; 1=correct",""
"towre_a_6","Integer","","Recommended","ig","0;1","0=incorrect; 1=correct",""
"towre_a_7","Integer","","Recommended","ni","0;1","0=incorrect; 1=correct",""
"towre_a_8","Integer","","Recommended","pim","0;1","0=incorrect; 1=correct",""
"towre_a_9","Integer","","Recommended","wum","0;1","0=incorrect; 1=correct",""
"towre_a_10","Integer","","Recommended","lat","0;1","0=incorrect; 1=correct",""
"towre_a_11","Integer","","Recommended","baf","0;1","0=incorrect; 1=correct",""
"towre_a_12","Integer","","Recommended","din","0;1","0=incorrect; 1=correct",""
"towre_a_13","Integer","","Recommended","nup","0;1","0=incorrect; 1=correct",""
"towre_a_14","Integer","","Recommended","fet","0;1","0=incorrect; 1=correct",""
"towre_a_15","Integer","","Recommended","bave","0;1","0=incorrect; 1=correct",""
"towre_a_16","Integer","","Recommended","pate","0;1","0=incorrect; 1=correct",""
"towre_a_17","Integer","","Recommended","herm","0;1","0=incorrect; 1=correct",""
"towre_a_18","Integer","","Recommended","dess","0;1","0=incorrect; 1=correct",""
"towre_a_19","Integer","","Recommended","chur","0;1","0=incorrect; 1=correct",""
"towre_a_20","Integer","","Recommended","knap","0;1","0=incorrect; 1=correct",""
"towre_a_21","Integer","","Recommended","tive","0;1","0=incorrect; 1=correct",""
"towre_a_22","Integer","","Recommended","barp","0;1","0=incorrect; 1=correct",""
"towre_a_23","Integer","","Recommended","stip","0;1","0=incorrect; 1=correct",""
"towre_a_24","Integer","","Recommended","plin","0;1","0=incorrect; 1=correct",""
"towre_a_25","Integer","","Recommended","frip","0;1","0=incorrect; 1=correct",""
"towre_a_26","Integer","","Recommended","poth","0;1","0=incorrect; 1=correct",""
"towre_a_27","Integer","","Recommended","vasp","0;1","0=incorrect; 1=correct",""
"towre_a_28","Integer","","Recommended","meest","0;1","0=incorrect; 1=correct",""
"towre_a_29","Integer","","Recommended","shlee","0;1","0=incorrect; 1=correct",""
"towre_a_30","Integer","","Recommended","guddy","0;1","0=incorrect; 1=correct",""
"towre_a_31","Integer","","Recommended","skree","0;1","0=incorrect; 1=correct",""
"towre_a_32","Integer","","Recommended","felly","0;1","0=incorrect; 1=correct",""
"towre_a_33","Integer","","Recommended","clirt","0;1","0=incorrect; 1=correct",""
"towre_a_34","Integer","","Recommended","sline","0;1","0=incorrect; 1=correct",""
"towre_a_35","Integer","","Recommended","dreef","0;1","0=incorrect; 1=correct",""
"towre_a_36","Integer","","Recommended","prain","0;1","0=incorrect; 1=correct",""
"towre_a_37","Integer","","Recommended","zint","0;1","0=incorrect; 1=correct",""
"towre_a_38","Integer","","Recommended","bloot","0;1","0=incorrect; 1=correct",""
"towre_a_39","Integer","","Recommended","trisk","0;1","0=incorrect; 1=correct",""
"towre_a_40","Integer","","Recommended","kelm","0;1","0=incorrect; 1=correct",""
