"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mmm13_negative_1","Integer","","Recommended","M1: A man shouldn't show emotions.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_2","Integer","","Recommended","M2: It is better for a man to be smart than strong.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_3","Integer","","Recommended","M6: A wife should vote the way her husband wants.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_4","Integer","","Recommended","M7: Women should be interested in politics.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_5","Integer","","Recommended","M8: The husband should make all the important decisions.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_6","Integer","","Recommended","M9: It is better for a man to give orders than to take orders.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_7","Integer","","Recommended","M10: A man needs to have children to be a man.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_negative_8","Integer","","Recommended","M11: It is better for a man to ask for help with a difficult task.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_positive_9","Integer","","Recommended","H1: It is important for a man to be respected by others.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_positive_10","Integer","","Recommended","H2: A man's #1 responsibility is his family.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_positive_11","Integer","","Recommended","H3: It is important for a man to stick to his beliefs.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_egal_12","Integer","","Recommended","E1: Men should share housework with their wives.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
"mmm13_egal_13","Integer","","Recommended","E2: Decisions around the house should be made jointly.","1::7","1=Strongly disagree; 4=Neutral; 7=Strongly agree",""
