"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"brigance_02","Integer","","Recommended","I play with my child and show him or her things about toys.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_03","Integer","","Recommended","I hug and kiss my child.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_04","Integer","","Recommended","I mostly talk to my child when he is crying.","1 :: 3","1 = Not very true; 2 = Sometimes true; 3 = Mostly true",""
"brigance_05","Integer","","Recommended","I help my child learn by talking and showing him or her new things.","1 :: 3","1 = Not very true; 2 = Sometimes true; 3 = Mostly true",""
"brigance_06","Integer","","Recommended","I look at or read children's books to my child.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_07","Integer","","Recommended","My child does not calm down or seem very interested when I talk to him.","1 :: 3","1 = Mostly true; 2 = Sometimes true; 3 = Not very true",""
"brigance_08","Integer","","Recommended","I make up games or songs for my child.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_09","Integer","","Recommended","""When my child looks at or touches a toy, I talk to him about the toy.""","1 :: 3","1 = Not very often; 2 = Some of the time; 3 = Most of the time",""
"brigance_10","Integer","","Recommended","""When my child is looking at me, I talk or make sounds with him.""","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_11","Integer","","Recommended","My child doesn't seem to like me.","1 :: 3","1 = Mostly true; 2 = Sometimes true; 3 = Not very true",""
"brigance_12","Integer","","Recommended","I enjoy feeding my child or eating with him.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_13","Integer","","Recommended","I talk to my child in a special way.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_14","Integer","","Recommended","My child is not very much fun to be with.","1 :: 3","1 = Mostly true; 2 = Sometimes true; 3 = Not very true",""
"brigance_15","Integer","","Recommended","I can make my child feel better when he or she is upset.","1 :: 3","1 = Not very often; 2 = Sometimes; 3 = Often",""
"brigance_16","Integer","","Recommended","""When my child looks at or touch something, the first thing I say is """"no"""".""","1 :: 3","1 = Mostly true; 2 = Sometimes true; 3 = Not very true",""
"brigance_17","Integer","","Recommended","Most of the time I like my child.","1 :: 3","1 = Not very true; 2 = Sometimes true; 3 = Mostly true",""
"brigance_18","Integer","","Recommended","My child does not need my help learning new things.","1 :: 3","1 = Mostly true; 2 = Sometimes true; 3 = Not very true",""
"brigance_19","Integer","","Recommended","I talk with my child when feeding or eating with him or her.","1 :: 3","1 = Not very often; 2 = Some of the time; 3 = Most of the time",""
