"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ari_01","Integer","","Recommended","Do you prefer to do things in a particular order?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_02","Integer","","Recommended","Do you prefer to do things in a certain way?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_03","Integer","","Recommended","Are you attached to certain objects?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_04","Integer","","Recommended","Are you concerned with dirt, cleanliness, or neatness?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_05","Integer","","Recommended","Do you arrange objects or perform certain behaviors until they are just right?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_06","Integer","","Recommended","Do you like to eat your meals in a certain order or certain way?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_07","Integer","","Recommended","Do you have persistent habits?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_08","Integer","","Recommended","Do you prefer to have the items on the top of your desks, tables, or counters lined up in straight lines, or in patterns?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_09","Integer","","Recommended","Do you prefer to keep the same schedule or routine every day?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_10","Integer","","Recommended","Do you fiddle with objects (tap pens, rip labels on bottles, etc.)?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_11","Integer","","Recommended","Do you prefer to have certain belongings in their place?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_12","Integer","","Recommended","Are you a picky eater?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_13","Integer","","Recommended","Do you twirl or play with your hair?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_14","Integer","","Recommended","Do you enjoy collecting things?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_15","Integer","","Recommended","Do you focus on details when doing a task?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_16","Integer","","Recommended","Do you clench/grind your teeth during the day or when sleeping?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_17","Integer","","Recommended","Do you notice imperfections in objects, like scratches on furniture, spots/stains, or frays on clothing, etc.?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_18","Integer","","Recommended","Do you prefer to finish one task before moving on to the next?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
"ari_19","Integer","","Recommended","Do you prepare for bedtime by engaging in a routine?","1 :: 5","1= Not At All, Never; 2= A Little, Rarely; 3= Somewhat, Sometimes; 4= Quite A Lot, Often; 5= Very Much, Always",""
