"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sco01","Integer","","Recommended","I can easily calm down when I am excited or ''wound up.''","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco02","Integer","","Recommended","If I get annoyed about something, I can get over it pretty quickly.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco03","Integer","","Recommended","If someone disrespects me, I can get it over it pretty quickly.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco04","Integer","","Recommended","I can usually be friendly after an argument.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco05","Integer","","Recommended","If I fail at something, I can get over it quickly.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco06","Integer","","Recommended","If I get upset or distressed, I can recover quickly.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sco07","Integer","","Recommended","If I'm upset about something I can easily shift my attention to something else.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sca01","Integer","","Recommended","When I'm feeling mad, I control my temper.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sca02","Integer","","Recommended","I stay calm and ''keep my cool'' when I'm feeling mad.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sca03","Integer","","Recommended","I can stop myself from losing my temper.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sca04","Integer","","Recommended","I try to calmly deal with what is making me mad.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sc_sadness01","Integer","","Recommended","When I'm feeling down, I can control my sadness and carry on with things.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sc_sadness02","Integer","","Recommended","I stay calm and don't let sad things get to me.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sc_sadness03","Integer","","Recommended","I try to calmly deal with what is making me feel sad.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
"sc_sadness04","Integer","","Recommended","I can stop myself from losing control over my sad feelings.","1::5;444;555;777;888;999","1 = Not at all true; 2 = A little true; 3 = Somewhat true; 4 = Pretty true; 5 = Very true; 444 = Do not wish to respond; 999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing",""
