"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rnua01","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 1. I've seen the negative effects of someone else's drinking.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua02","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 2. I like to feel in control of myself.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua03","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 3. Drinking heavily is a sign of personal weakness.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua04","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 4. I don't want to get drunk.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua05","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 5. I was brought up not to drink.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua06","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 6. My religion discourages or is against drinking.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua07","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 7. I'm not old enough to drink legally.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua08","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 8. I'm part of a group that doesn't drink much.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua09","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 9. Drinking interferes with my studies or job.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua10","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 10. I wouldn't want to disappoint my parents.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua11","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 11. Drinking is not healthy.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua12","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 12. I want to do well in school.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua13","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 13. I don't want to get in trouble.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua14","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 14. I don't want to lose control while drunk.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
"rnua15","Integer","","Recommended","How important would you say each of the following is to you as a reason for NOT drinking or LIMITING your drinking? 15. I don't want my friends to think badly of me.","1::4","1 = Not true; 2 = True, but not all that important; 3 = True and fairly important; 4 = True and very important",""
