"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sosg1","Integer","","Recommended","By taking calls or spending time with a sponsee?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg2","Integer","","Recommended","By guiding an alcoholic,addict through the 12 steps?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg3","Integer","","Recommended","By saying something positive to an alcoholic,addict?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg4","Integer","","Recommended","By listening to an alcoholic,addict?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg5","Integer","","Recommended","By saying hello to a newcomer?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg6","Integer","","Recommended","By reaching out to an alcoholic,addict having a hard time?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg7","Integer","","Recommended","By sharing a personal story with an alcoholic,addict?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg8","Integer","","Recommended","By reading program literature to an alcoholic,addict?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg9","Integer","","Recommended","By encouraging an alcoholic,addict to go to a meeting?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg10","Integer","","Recommended","By holding a service position in a 12-step program?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg11","Integer","","Recommended","By donating money to Alcoholics Anonymous or Narcotics Anonymous?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosg12","Integer","","Recommended","By putting away chairs after a meeting?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr1","Integer","","Recommended","By taking your call or spending time with you as your sponsor?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr2","Integer","","Recommended","By guiding you through the 12 steps?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr3","Integer","","Recommended","By saying something positive to you?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr4","Integer","","Recommended","By listening to you?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr5","Integer","","Recommended","By saying hello to you?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr6","Integer","","Recommended","By reaching out to you when you were having a hard time?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr7","Integer","","Recommended","By sharing a personal story with you?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr8","Integer","","Recommended","By reading program literature to you?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr9","Integer","","Recommended","By encouraging you to go to a meeting?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr10","Integer","","Recommended","By encouraging you to do service work (e g , make coffee, put away chairs)?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr11","Integer","","Recommended","By giving you money or other financial contribution?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr12","Integer","","Recommended","Encourage you to help others?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr13","Integer","","Recommended","Let you know that you were helpful?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"sosr14","Integer","","Recommended","Let you know that you were needed?","1 :: 5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
