"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"forgot1","Integer","","Recommended","In the past year, how often have you forgotten: to do an errand or chore?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot2","Integer","","Recommended","In the past year, how often have you forgotten: to take a medication or to take a medication on time?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot3","Integer","","Recommended","In the past year, how often have you forgotten: to attend a planned event (e.g., an appointment)?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot4","Integer","","Recommended","In the past year, how often have you forgotten: to call, text, or email someone?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot5","Integer","","Recommended","In the past year, how often have you forgotten: why you entered a room?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot6","Integer","","Recommended","In the past year, how often have you forgotten: someone's name?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot7","Integer","","Recommended","In the past year, how often have you forgotten: where you put something?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot8","Integer","","Recommended","In the past year, how often have you forgotten: a word you wanted to use in a conversation?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"forgot9","Integer","","Recommended","In the past year, how often have you forgotten: information you wanted to recall?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble1","Integer","","Recommended","In the past year, how often have you had trouble: keeping track of what you were doing?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble2","Integer","","Recommended","In the past year, how often have you had trouble: being organized?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble3","Integer","","Recommended","In the past year, how often have you had trouble: making decisions?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble4","Integer","","Recommended","In the past year, how often have you had trouble: thinking quickly?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble5","Integer","","Recommended","In the past year, how often have you had trouble: thinking clearly?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble6","Integer","","Recommended","In the past year, how often have you had trouble: finding your way around?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
"trouble7","Integer","","Recommended","In the past year, how often have you had trouble: completing a task?","0::4;99","0=Never; 1=At least once in the past year, but less than monthly; 2=Monthly; 3=Weekly; 4=Daily; 99=Does not apply",""
