"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cips01","Integer","","Recommended","I have often succeeded on a test or task even though I was afraid that I would not do well before I undertook the task","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips02","Integer","","Recommended","I can give the impression that I'm more competent than I really am","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips03","Integer","","Recommended","I avoid evaluations if possible and have a dread of others evaluating me","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips04","Integer","","Recommended","When people praise me for something I've accomplished, I'm afraid I won't be able to live up to their expectations of me in the future","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips05","Integer","","Recommended","I sometimes think I obtained my present position or gained my present success because I happened to be in the right place at the right time or knew the right people","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips06","Integer","","Recommended","I'm afraid people important to me may find out that I'm not as capable as they think I am","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips07","Integer","","Recommended","I tend to remember the incidents in which I have not done my best more than those times I have done my best","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips08","Integer","","Recommended","I rarely do a project or task as well as I'd like to do it","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips09","Integer","","Recommended","Sometimes I feel or believe that my success in my life or in my job has been the result of some kind of error","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips10","Integer","","Recommended","It's hard for me to accept compliments or praise about my intelligence or accomplishments","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips11","Integer","","Recommended","At times, I feel my success has been due to some kind of luck","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips12","Integer","","Recommended","I'm disappointed at times in my present accomplishments and think I should have accomplished much more","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips13","Integer","","Recommended","Sometimes I'm afraid others will discover how much knowledge or ability I really lack","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips14","Integer","","Recommended","I'm often afraid that I may fail at a new assignment or undertaking even though I generally do well at what I attempt","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips15","Integer","","Recommended","When I've succeeded at something and received recognition for my accomplishments, I have doubts that I can keep repeating that success","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips16","Integer","","Recommended","If I receive a great deal of praise and recognition for something I've accomplished, I tend to discount the importance of what I've done","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips17","Integer","","Recommended","I often compare my ability to those around me and think they may be more intelligent than I am","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips18","Integer","","Recommended","I often worry about not succeeding with a project or examination, even though others around me have considerable confidence that I will do well","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips19","Integer","","Recommended","If I'm going to receive a promotion or gain recognition of some kind, I hesitate to tell others until it is an accomplished fact","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips20","Integer","","Recommended","I feel bad and discouraged if I'm not ''the best'' or at least ''very successful'' in situations that involve achievement","1::5","1= Not at all true; 2= Rarely; 3= Sometimes; 4= Often; 5= Very true",""
"cips_total","Integer","","Recommended","Clance Impostor Phenomenon Scale Total Score","20::100","Sum of cips01 to cips20; Scores 20-40= Few impostor experiences; 41-60= Moderate impostor experiences; 61-80= Frequent impostor experiences; 81-100= Intense impostor experiences",""
