"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"alco_jobperform01","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Showed up to work hungover.","0;1","0 = No; 1 = Yes",""
"alco_jobperform02","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Showed up to work still inebriated.","0;1","0 = No; 1 = Yes",""
"alco_jobperform03","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Called in sick or used other paid time off.","0;1","0 = No; 1 = Yes",""
"alco_jobperform04","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Simply did not show up (no call/no show).","0;1","0 = No; 1 = Yes",""
"alco_jobperform05","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Experienced an on-duty injury while hung over or inebriated.","0;1","0 = No; 1 = Yes",""
"alco_jobperform06","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Been involved in a motor vehicle accident while driving on duty.","0;1","0 = No; 1 = Yes",""
"alco_jobperform07","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Been fired or laid off from a job.","0;1","0 = No; 1 = Yes",""
"alco_jobperform08","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Been demoted or suspended.","0;1","0 = No; 1 = Yes",""
"alco_jobperform09","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Unable to perform your job duties while on a call for service.","0;1","0 = No; 1 = Yes",""
"alco_jobperform10","Integer","","Recommended","During the past 12 months, have you ever experienced any of the following situations as a result of your alcohol use - Had your EMS license suspended or revoked.","0;1","0 = No; 1 = Yes",""
