"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sapa_35","Integer","","Recommended","Act without thinking.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_39","Integer","","Recommended","Adjust easily.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_4252","Integer","","Recommended","Am a worrier.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_2745","Integer","","Recommended","Am able to come up with new and different ideas.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_56","Integer","","Recommended","Am able to control my cravings.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_2754","Integer","","Recommended","Am an original thinker.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_90","Integer","","Recommended","Am concerned about others.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_128","Integer","","Recommended","Am full of ideas.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_131","Integer","","Recommended","Am good at making impromptu speeches.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
"sapa_2765","Integer","","Recommended","Am happy with my life.","0 :: 5","0=Very inaccurate; 1=Moderately accurate; 2=Slightly inaccurate; 3=Slightly accurate; 4=Moderately accurate; 5=Very accurate",""
