"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"shona1","Integer","","Recommended","During the course of the past week did you have times in which you were thinking deeply or thinking about many things?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona2","Integer","","Recommended","During the course of the past week did you find yourself sometimes failing to concentrate?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona3","Integer","","Recommended","During the course of the past week did you lose your temper or get annoyed over trivial matters?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona4","Integer","","Recommended","During the course of the past week did you have nightmares or bad dreams?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona5","Integer","","Recommended","During the course of the past week did you sometimes see or hear things which others could not see or hear?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona6","Integer","","Recommended","During the course of the past week was your stomach aching?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona7","Integer","","Recommended","During the course of the past week were you frightened by trivial things?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona8","Integer","","Recommended","During the course of the past week did you sometimes fail to sleep or lose sleep?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona9","Integer","","Recommended","During the course of the past week were there moments when you felt life was so tough that you cried or wanted to cry?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona10","Integer","","Recommended","During the course of the past week did you feel run down (tired)?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona11","Integer","","Recommended","During the course of the past week did you at times feel like committing suicide?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona12","Integer","","Recommended","During the course of the past week were you generally unhappy with things you were doing each day?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona13","Integer","","Recommended","During the course of the past week was your work lagging behind?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
"shona14","Integer","","Recommended","During the course of the past week did you feel you had problems in deciding what to do?","0;1;-999","0=No; 1=Yes; -999=Unknown/missing",""
