"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"smwrss1a","Integer","","Recommended","You and your female partner are having dinner together at a restaurant. A male customer approaches your table. How anxious/concerned would you be that the man might sexually harass you because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
"smwrss1b","Integer","","Recommended","You and your female partner are having dinner together at a restaurant. A male customer approaches your table. How likely is it that the man will sexually harass you because of your sexual orientation?","1::7","1= Very unlikely; 7 = Very likely",""
"smwrss2a","Integer","","Recommended","You and your female partner are leaving a store together holding hands. A car drives by and the driver honks the horn loudly several times. How anxious/concerned would you be that the driver might have honked because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
"smwrss2b","Integer","","Recommended","You and your female partner are leaving a store together holding hands. A car drives by and the driver honks the horn loudly several times. How likely is it that the driver honked because of your sexual orientation?","1::7","1= Very unlikely; 7 = Very likely",""
"smwrss3a","Integer","","Recommended","You are on a date with a women at a restaurant. Your waiter provides you and your date with poor service. How anxious/concerned would you be that the poor service may have been because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
"smwrss3b","Integer","","Recommended","You are on a date with a women at a restaurant. Your waiter provides you and your date with poor service. How likely is it that the poor service was because of your sexual orientation?","1::7","1= Very unlikely; 7 = Very likely",""
"smwrss4a","Integer","","Recommended","You are your female partner are walking together holding hands. Several men are gathered on a corner outside a bar. How anxious/concerned would you be that you may be harassed or assaulted because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
"smwrss4b","Integer","","Recommended","You are your female partner are walking together holding hands. Several men are gathered on a corner outside a bar. How likely is it that you will be harassed or assaulted because of your sexual orientation?","1::7","1= Very unlikely; 7 = Very likely",""
"smwrss5a","Integer","","Recommended","You are at a bar with a female friend and an intoxicated male approaches you and attempts to pick you up. You turn him down and he reacts angrily, calling you a ''dyke''. How anxious/concerned would you be that he might physically assault you because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
"smwrss5b","Integer","","Recommended","You are at a bar with a female friend and an intoxicated male approaches you and attempts to pick you up. You turn him down and he reacts angrily, calling you a ''dyke''. How likely is it that he will physically assault you because of your sexual orientation?","1::7","1= Very unlikely; 7 = Very likely",""
"smwrss6a","Integer","","Recommended","You and your female partner are looking to buy a house. After looking at a house together with the realtor, the realtor fails to schedule an appointment to view another house that she represents. How anxious/concerned would you be that the realtor may have failed to schedule an appointment because of your sexual orientation?","1::7","1 = Very unconcerned; 7 = Very concerned",""
