"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mcq_01","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I have a desire for marijuana right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_002","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I have an urge to use marijuana right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_03","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: All I want right now is to smoke marijuana.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_04","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I crave marijuana right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_05","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I feel high (as in ''drug high'') right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_06","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I feel in pain right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_07","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I feel anxious right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_08","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I feel worried right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_09","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: I feel sleepy right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
"mcq_10","Integer","","Recommended","For the following questions, indicate how strongly you agree with the statement using a scale from 0 to 100: My muscles feel relaxed right now.","0::100","0= Not at all; 100= The strongest feeling possible",""
