"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"simpatia1","Integer","","Recommended","When interacting with other people, how important is it for you to: Be able to openly share feelings","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia2","Integer","","Recommended","When interacting with other people, how important is it for you to: Show respect to other people","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia3","Integer","","Recommended","When interacting with other people, how important is it for you to: Avoid conflict at all costs","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia4","Integer","","Recommended","When interacting with other people, how important is it for you to: Have control of your emotions","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia5","Integer","","Recommended","When interacting with other people, how important is it for you to: Show loyalty","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia6","Integer","","Recommended","When interacting with other people, how important is it for you to: Obey or fulfill others' wishes or requests","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia7","Integer","","Recommended","When interacting with other people, how important is it for you to: Show agreement with opinions that are different from your own","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia8","Integer","","Recommended","When interacting with other people, how important is it for you to: Show good manners and be polite no matter what","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia9","Integer","","Recommended","When interacting with other people, how important is it for you to: Make others feel comfortable","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
"simpatia10","Integer","","Recommended","When interacting with other people, how important is it for you to: Avoid being rude or insulting","0::4;99","0 = Not Important; 1 = Slightly Important; 2 = Somewhat Important; 3 = Very Important; 4 = Extremely Important; 99 = Prefer not to answer",""
