"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"isq_01","Integer","","Recommended","I have difficulty making sense of my bodys signals unless they are very strong","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_02","Integer","","Recommended","I tend to rely on visual reminders (e.g. times on the clock) to help me know when to eat and drink","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_03","Integer","","Recommended","I have difficulty feeling my bodily need for food","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_04","Integer","","Recommended","Im not sure how my body feels when its a hot day","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_05","Integer","","Recommended","I find it difficult to describe feelings like hunger, thirst, hot or cold","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_06","Integer","","Recommended","Sometimes I dont know how to interpret sensations I feel within my body","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_07","Integer","","Recommended","If I injure myself badly, even though I can feel it, I dont feel the need to do much about it","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_08","Integer","","Recommended","I only notice I need to eat when Im in pain or feeling nauseous or weak","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_09","Integer","","Recommended","There are times when I am only aware of changes in my body because of the reactions of other people","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_10","Integer","","Recommended","I find it difficult to read the signs and signals within my own body (e.g. when I have hurt myself or I need to rest)","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_11","Integer","","Recommended","I have difficulty understanding when I am hungry or thirsty","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_12","Integer","","Recommended","I find it difficult to identify some of the signals that my body is telling me (e.g. If Im about to faint or Ive over exerted myself)","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_13","Integer","","Recommended","It is difficult for me to describe what it feels like to be hungry, thirsty, hot, cold, or in pain","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_14","Integer","","Recommended","I am confused about my bodily sensations","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_15","Integer","","Recommended","I have difficulty locating injury in my body","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_16","Integer","","Recommended","Sometimes, when my body signals a problem, I have difficulty working out what the problem might be","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_17","Integer","","Recommended","I dont tend to notice feelings in my body until theyre very intense","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_18","Integer","","Recommended","I find it difficult to put my internal bodily sensations into words","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_19","Integer","","Recommended","Even when I know that I am hungry, thirsty, in pain, hot or cold, I dont feel the need to do anything about it","1 :: 7","1= Not at all true of me; 7= Very true of me",""
"isq_20","Integer","","Recommended","Even when I know that I am physically uncomfortable, I do not act to change my situation","1 :: 7","1= Not at all true of me; 7= Very true of me",""
