"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cogregq_1","Integer","","Recommended","I can visualize things in my mind.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_2","Integer","","Recommended","I tend to overindulge. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
"cogregq_3","Integer","","Recommended","I have a vivid imagination.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_4","Integer","","Recommended","I can focus my attention and not get distracted.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_5","Integer","","Recommended","I struggle to manage my emotions. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
"cogregq_6","Integer","","Recommended","I have a good amount of willpower.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_7","Integer","","Recommended","I can imagine myself in different scenarios.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_8","Integer","","Recommended","I can calm myself down when I get upset.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_9","Integer","","Recommended","I am able to stop one activity and begin another.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_10","Integer","","Recommended","I act on impulse. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
"cogregq_11","Integer","","Recommended","I get angry when things do not go as planned. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
"cogregq_12","Integer","","Recommended","I can visualize the potential outcomes of my choices.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_13","Integer","","Recommended","I can concentrate on the task at hand.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_14","Integer","","Recommended","I have self-control over my behaviors.","1::6","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat disagree; 4 = Somewhat agree; 5 = Agree; 6 = Strongly agree",""
"cogregq_15","Integer","","Recommended","It is hard for me to control my mood. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
"cogregq_16","Integer","","Recommended","I have a wandering mind. (reverse coded)","1::6","1 = Strongly agree; 2 = Agree; 3 = Somewhat agree; 4 = Somewhat disagree; 5 = Disagree; 6 = Strongly disagree",""
