"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rcopestrcnxngod","Integer","","Recommended","To what extent did you do the following to cope: Looked for a stronger connection with God","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopeqpower","Integer","","Recommended","To what extent did you do the following to cope: Questioned the power of God","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopedevil","Integer","","Recommended","To what extent did you do the following to cope: Decided the devil made this happen","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopelove","Integer","","Recommended","To what extent did you do the following to cope: Sought God's love and care","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopeplans","Integer","","Recommended","To what extent did you do the following to cope: Tried to put my plans into action together with God","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopechurch","Integer","","Recommended","To what extent did you do the following to cope: Wondered whether my church had abandoned me","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopeforgive","Integer","","Recommended","To what extent did you do the following to cope: Asked forgiveness for my sins","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopequestlove","Integer","","Recommended","To what extent did you do the following to cope: Questioned God's love for me","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopeletgoanger","Integer","","Recommended","To what extent did you do the following to cope: Sought help from God in letting go of my anger","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopepunish","Integer","","Recommended","To what extent did you do the following to cope: Wondered what I did for God to punish me","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopegodabandon","Integer","","Recommended","To what extent did you do the following to cope: Wondered whether God had abandoned me","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopestopworry","Integer","","Recommended","To what extent did you do the following to cope: Focused on religion to stop worrying about my problems","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopestrength","Integer","","Recommended","To what extent did you do the following to cope: Tried to see how God might be trying to strengthen me in this situation","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"rcopedevotion","Integer","","Recommended","To what extent did you do the following to cope: Felt punished by God for my lack of devotion","0::3","0 = Not at all; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
