"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"race","String","100","Required","","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","",""
"ethnicity","String","30","Required","","Ethnicity of participant","Hispanic or Latino; Not Hispanic or Latino; Unknown","",""
"phenotype","String","400","Required","","Phenotype/diagnosis for the subject","","",""
"proband_subjectkey","GUID","","Recommended","","Proband's NDAR GUID. Proband=child with Autism or other condition, which is a Study primary intererest group","NDAR*","",""
"rel_to_proband","String","25","Recommended","","The relationship of this individual to the Proband","Proband; Self; Mother; Father; Sibling; Other; Nonbiological mother; Nonbiological father","",""
"consanguinity","String","10","Recommended","","The parents of this individual are consanguinous","TRUE;FALSE;UNKNOWN","",""
"consanguinity_details","String","200","Recommended","","Description of parental consanguinous relationship","","",""
"asd_yes_no","String","10","Required","","Has the subject been diagnosed with Autism Spectrum Disorder?","TRUE;FALSE;UNKNOWN;NK","NK = Not known",""
"asd_details","String","200","Recommended","","Details of ASD diagnosis","","",""
"dd_yes_no","String","10","Recommended","","Has the subject been diagnosed with Developmental Disorder?","TRUE;FALSE;UNKNOWN;NK","NK = Not known",""
"dd_details","String","200","Recommended","","Details of DD diagnosis","","",""
"attentiondisorder","Integer","","Recommended","","Does (did) the subject have Attention Deficit Disorder +/- Hyperactivity?","0;1;2","0 = No/False; 1 = Yes/True; 2 = Unknown",""
"dsmiv_asd","String","10","Required","","This individual meets DSMIV criteria for autistic disorder","TRUE;FALSE;UNKNOWN","",""
"iq_test","String","10","Required","","This individual has had an IQ test","TRUE;FALSE;UNKNOWN; REFUSED","",""
"iqtestname","String","255","Recommended","","Name of IQ test given to participant","","",""
"iq","Integer","","Conditional","iq_test == 'true' || iq_test == 'TRUE'","IQ score as defined by the completion of an appropriate assessement","","",""
"otherdevelopmentaltest","Integer","","Recommended","","Has any other developmental test been done?","0;1;2","0 = No/False; 1 = Yes/True; 2 = Unknown",""
"developmentaltestdetails","String","200","Recommended","","Details of other developmental tests","","","developmental_test_details"
"rev_headseizure","String","50","Required","","Seizures","Yes; No; NK; NS","NK= Not known; NS = Not sure",""
"rev_headseizuredetail","String","500","Recommended","","Details of the seizure history and/or type(s)","","",""
"microcephaly","String","10","Recommended","","This individual has a head circumference smaller than 2 standard deviations below the mean for gender and age","TRUE; FALSE; UNKNOWN","",""
"macrocephaly","String","10","Recommended","","This individual has a head circumference larger than 2 standard deviations above the mean for gender and age","TRUE; FALSE; UNKNOWN","",""
"head_circumference_details","String","255","Recommended","","Details of head circumference","","",""
"hearingloss","Integer","","Required","","Hearing Loss: Does (did) the subject have Hearing loss?","0;1;2;999","0 = No/False; 1 = Yes/True; 2 = Unknown",""
"hearinglossdetail","String","200","Recommended","","Details of the hearing loss","","",""
"visionproblems","Integer","","Recommended","","Vision:  Does (did) the subject have Vision/eye problems?","0;1;2","0 = No/False; 1 = Yes/True; 2 = Unknown",""
"visionproblemdetail","String","300","Recommended","","Details of the vision problem","","","vision_problem_details"
"neurologic_problem_other","String","10","Recommended","","This individual been diagnosed with another neurologic problem(s)","TRUE;FALSE;UNKNOWN","",""
"neurologic_problem_details","String","200","Recommended","","Details of the other neurologic problem(s)","","",""
"eegtest","String","10","Recommended","","Did the subject take a EEG exam?","TRUE;FALSE;UNKNOWN;NK","NK = Not known",""
"eeg_result","String","255","Recommended","","Details of EEG result(s)","","",""
"ctscanofbrain","String","10","Recommended","","Did the subject take a CT scan of brain?","TRUE;FALSE;UNKNOWN;NK","NK = Not known",""
"ct_head_result","String","255","Recommended","","Details of the head CT result(s)","","",""
"mribrainscan","String","10","Recommended","","Did the subject take an MRI scan of brain?","TRUE;FALSE;UNKNOWN;NK","NK = Not known",""
"mri_brain_result","String","255","Recommended","","Details of the brain MRI result(s)","","",""
"other_phenotype_details","String","255","Recommended","","Details of other phenotype(s)","","",""
