"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"p_aeq1","Integer","","Recommended","After a few drinks, my past traumatic experiences would feel less real","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq2","Integer","","Recommended","After a few drinks, I would forget things about my past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq3","Integer","","Recommended","After a few drinks, memories of traumatic experiences would not bother me as much","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq4","Integer","","Recommended","After a few drinks, I am less likely to be bothered by cues or triggers that remind me of past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq5","Integer","","Recommended","After a few drinks, my flashbacks about past traumatic events would decrease","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq6","Integer","","Recommended","A few drinks would numb painful feelings and thoughts about past traumatic events","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq7","Integer","","Recommended","After a few drinks, my illusions (visual memories) about past traumatic events would decrease","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq8","Integer","","Recommended","My bad dreams would decrease after a few drinks","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq9","Integer","","Recommended","After a few drinks, I would feel calm even when I am around things that remind me of past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq10","Integer","","Recommended","After a few drinks, my hallucinations about traumatic past events would decrease","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq11","Integer","","Recommended","After a few drinks, I would be less startled by things","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq12","Integer","","Recommended","After a few drinks, I would be less angry or on edge","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq13","Integer","","Recommended","After a few drinks, I would feel closer to others","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq14","Integer","","Recommended","After a few drinks, my flashbacks about traumatic past events would increase","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq15","Integer","","Recommended","A few drinks would increase painful feelings and thoughts about traumatic events","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq16","Integer","","Recommended","After a few drinks, I would be bothered by more memories of traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq17","Integer","","Recommended","After a few drinks, my traumatic past experiences would feel more real","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq18","Integer","","Recommended","After a few drinks, my illusions (visual memories) about past traumatic events would increase","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq19","Integer","","Recommended","After a few drinks, I would be more likely to be bothered by cues or triggers that remind me of past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq20","Integer","","Recommended","After a few drinks, I would remember more about my past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq21","Integer","","Recommended","After a few drinks, my hallucinations about traumatic past experiences would increase","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq22","Integer","","Recommended","My bad dreams would increase after a few drinks","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq23","Integer","","Recommended","After a few drinks, I would be more angry or on edge","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq24","Integer","","Recommended","After a few drinks, I would be more on guard","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq25","Integer","","Recommended","After a few drinks, my heart races, my palms sweat, or I have difficulty breathing when I am around things that remind me of past traumatic experiences","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq26","Integer","","Recommended","After a few drinks, I would be more easily startled by things","1::5","1=Strongly disagree; 5=Strongly agree",""
"p_aeq27","Integer","","Recommended","After a few drinks, I would feel more alone and distant from others","1::5","1=Strongly disagree; 5=Strongly agree",""
