"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"iia01","Integer","","Recommended","Right now I would want to: Talk to a friend or family member","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia02","Integer","","Recommended","Right now I would want to: Text a friend/family member.","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia03","Integer","","Recommended","Right now I would want to:  Email a friend/family member","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia04","Integer","","Recommended","Right now I would want to: Check my Email","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia05","Integer","","Recommended","Right now I would want to: Check my Facebook account","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia06","Integer","","Recommended","Right now I would want to: Study for classes or catch up on other work","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia07","Integer","","Recommended","Right now I would want to: Read a book","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia08","Integer","","Recommended","Right now I would want to: Watch television","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia09","Integer","","Recommended","Right now I would want to: Listen to music","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
"iia10","Integer","","Recommended","Right now I would want to: Sleep","0::5","0= N/A; 1= Not at all; 3= Moderately; 5= Very much so",""
