"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mdpq_1","Integer","","Recommended","I can: Navigate onscreen menus using the touchscreen","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_2","Integer","","Recommended","I can: Use the onscreen keyboard to type","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"cpq_13","Integer","","Recommended","I can: Send emails","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"cpq_17","Integer","","Recommended","I can: Send pictures by email","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_5","Integer","","Recommended","I can: Transfer information (files such as music, pictures, documents) on my mobile device to my computer","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_6","Integer","","Recommended","I can: Transfer information (files such as music, pictures, documents) on my computer to my mobile device","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"cpq_23","Integer","","Recommended","I can: Find information about my hobbies and interests on the Internet","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_8","Integer","","Recommended","I can: Find health information on the Internet","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_9","Integer","","Recommended","I can: Enter events and appointments into a calendar","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"cpq_29","Integer","","Recommended","I can: Check the date and time of upcoming and prior appointments","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_11","Integer","","Recommended","I can: Use the device's online ''store'' to find games and other forms of entertainment (e.g., using Apple App Store or Google Play Store)","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_12","Integer","","Recommended","I can: Listen to music","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_13","Integer","","Recommended","I can: Set up a password to lock/unlock the device","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_14","Integer","","Recommended","I can: Erase all Internet browsing history and temporary files","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_15","Integer","","Recommended","I can: Update games and other applications","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
"mdpq_16","Integer","","Recommended","I can: Delete games and other applications","1::5","1 = Never tried; 2 = Not at all; 3 = Not very easily; 4 = Somewhat easily; 5 = Very easily",""
