"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"loyolagen01","Integer","","Recommended","I try to pass along the knowledge I have gained through my experiences.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen02","Integer","","Recommended","I do not feel that other people need me.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen03","Integer","","Recommended","I think I would like the work of a teacher.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen04","Integer","","Recommended","I feel as though I have made a difference to many people.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen05","Integer","","Recommended","I do not volunteer to work for charity.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen06","Integer","","Recommended","I have made and created things that have had an impact on other people.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen07","Integer","","Recommended","I try to be creative in most things that I do.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen08","Integer","","Recommended","I think I will be remembered for a long time after I die.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen09","Integer","","Recommended","I believe that society cannot be responsible for providing food and shelter for all homeless people.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen10","Integer","","Recommended","Others would say that I have made unique contributions to society.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen11","Integer","","Recommended","If I were unable to have children of my own, I would like to adopt children.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen12","Integer","","Recommended","I have important skills that I try to teach others.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen13","Integer","","Recommended","I feel that I have done nothing that will survive after I die.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen14","Integer","","Recommended","I general, my actions do not have a positive effect on other people.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen15","Integer","","Recommended","I feel as though I have done nothing of worth to contribute to others.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen16","Integer","","Recommended","I have made many commitments to many different kinds of people, groups, and activities in my life.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen17","Integer","","Recommended","Other people say that I am a very productive person.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen18","Integer","","Recommended","I have a responsibility to improve the neighborhood in which I live.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen19","Integer","","Recommended","People come to me for advice.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
"loyolagen20","Integer","","Recommended","I feel as though my contributions will exist after I die.","0::3","0=Never; 1=Occasionally or Seldom; 2=Fairly often; 3=Very often or nearly always",""
