"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"weims1","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because this is the type of work I chose to do to attain a certain lifestyle","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims2","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - For the income it provides me","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims3","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - I ask myself if I am able to manage the important tasks related to this work","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims4","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because I derive much pleasure from learning new things","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims5","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because it has become a fundamental part of who I am","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims6","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because I want to succeed at this job, if not I would be very ashamed of myself","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims7","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because I chose this type of work to attain my career goals","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims8","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - For the satisfaction I experience from taking on interesting challenges","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims9","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because it allows me to earn money","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims10","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because it is part of the way in which I have chosen to live my life","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims11","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because I want to be very good at this work, otherwise I would be very disappointed","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims12","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - I don't know why, we are provided with unrealistic working conditions","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims13","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because I want to be a winner in life","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims14","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because it is the type of work I have chosen to attain certain important objectives","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims15","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - For the satisfaction I experience when I am successful at doing difficult tasks","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims16","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because this type of work provides me with security","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims17","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - I don't know, too much is expected of us","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
"weims18","Integer","","Recommended","Indicate to what extent each of the following items corresponds to the reasons why you are presently involved in your work - Because this job is a part of my life","1::7","1=Does not correspond at all; 4=Corresponds moderately; 7=Corresponds exactly",""
