"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"tn_01","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Feel upset with myself.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn01"
"tn_02","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Tell my child we will not get to do something else fun   (i.e., watch t.v., play games) unless s/he stops behaving like this.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn02"
"tn_03","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Tell my child it is ok to be angry.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn03"
"tn_04","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Soothe my child and/or do something with him/her to make him/her feel better.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn04"
"tn_05","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Help my child find something s/he wants to do inside.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn05"
"tn_06","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Tell my child that s/he is making a big deal out of nothing.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn06"
"tn_07","Integer","","Recommended","(If my child becomes angry because s/he wants to play outside and cannot do so because s/he is sick, I would): Let my child play outside.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn07"
"tn_08","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Comfort my child by picking him/her up and/or trying to get him/her to forget about the accident.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn08"
"tn_09","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Tell my child that s/he is overreacting or making a big deal out of nothing.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn09"
"tn_10","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Remain calm and not let myself get upset.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn10"
"tn_11","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Send my child to his/her room for making a mess.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn11"
"tn_12","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Help my child find a way to clean up the mess.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn12"
"tn_13","Integer","","Recommended","(If my toddler spilled something and made a big mess on the carpet, and then gets upset and cries, I would): Tell my child that it is ok to be upset.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn13"
"tn_14","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Go and buy my child a new item.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn14"
"tn_15","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Help my child think of other places to look for the toy.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn15"
"tn_16","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Distract my child with another toy to make him/her feel better.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn16"
"tn_17","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Tell my child that it is not that important.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn17"
"tn_18","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Tell my child it is his/her fault for not being careful with the toy.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn18"
"tn_19","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Feel upset myself.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn19"
"tn_20","Integer","","Recommended","(If my child loses some prized possession (for example, favorite blanket or stuffed animal) and reacts with tears, I would): Tell my child it is okay to feel sad about the loss.","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn20"
"tn_21","Integer","","Recommended","(If my child is afraid of going to the doctor or of getting shots and becomes quite shaky and teary, I would): Tell him/her to shape up or s/he would not be allowed to do something s/he likes to do (i.e., go to playground).","1 :: 7","1= Very Unlikely; 4= Medium; 7= Very Likely","tn21"
