"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mbssdentist_1","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would ask the dentist exactly what was going to be done","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_2","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would take a tranquilizer or have a drink before going","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_3","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would try to think about pleasant memories","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_4","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would want the dentist to tell me when I would feel pain","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_5","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would try to sleep","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_6","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would watch all the dentist's movements and listen for the sound of the drill","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_7","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would watch the flow of water from my mouth to see if it contained blood","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssdentist_8","Integer","","Recommended","Imagine that you are afraid of the dentist and have to get some dental work done. Which of the following would you do: I would do mental puzzles in my mind","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_1","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would carefully read the information provided about the safety features in the plane and make sure I knew where the emergency exits were","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_2","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would make small talk with the passenger beside me","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_3","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would watch the end of a movie, even if I had seen it before","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_4","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would call for the flight attendant and ask exactly what the problem is","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_5","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would take a tranquilizer or order a drink from the flight attendant","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_6","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would listen carefully to the engines for unusual noises and would watch the crew to see if their behavior was out of the ordinary","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_7","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would talk to the passenger beside me about what might be wrong","0;1","0=No/Unchecked; 1=Yes/Checked",""
"mbssairplane_8","Integer","","Recommended","Imagine that you are on an airplane, thirty minutes from your destination, when the plane unexpectedly goes into a deep dive and then suddenly levels off. After a short time, the pilot announces that nothing is wrong, although the rest of the ride may be rough. You, however, are not convinced that all is well. Please mark all of the statements that might apply to you: I would settle down and read a book or magazine or write a letter","0;1","0=No/Unchecked; 1=Yes/Checked",""
