"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"selfepa1","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Talk to your teen about the physical changes associated with puberty","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa2","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Talk to your teen about the emotional changes and difficulties associated with puberty","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa3","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Explain clearly to your teen about consent as it relates to sex","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa4","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Respond appropriately, even when you're tired or irritable, when your teen is acting moody","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa5","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Be sensitive and nurturing when your teen has a negative attitude","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa6","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Spend positive, one-on-one time with your teen, without getting frustrated","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa7","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Be patient with your teen when you are in a hurry","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa8","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Engage in effective communication skills with your teen even when they are trying your patience","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa9","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Set reasonable limits for your teen (e.g., rules, curfews)","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa10","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Follow through with discipline when your teen misbehaves, even when you are tired or stressed (e.g., punishment when teen breaks curfew or other house rules/ limits)","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa11","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Engage in appropriate discipline or behavior management in public or in front of your teen's friends","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa12","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Implement the appropriate type and amount of discipline when your teen misbehaves (e.g., taking away their phone for a day, grounding them for a week)","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
"selfepa13","Integer","","Recommended","Each of the following questions describes a caregiving behavior and asks you to indicate how certain you are of your capability to perform that behavior with your teen: Talk to your teen about safe and appropriate sexual practices and reproductive health","1::4","1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy",""
