"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"secs12_1","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Abortion","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_2","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Limited government","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_3","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Military and national security","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_4","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Religion","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_5","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Welfare benefits","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_6","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Gun ownership","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_7","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Traditional marriage","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_8","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Traditional values","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_9","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Fiscal responsibility","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_10","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Business","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_11","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: The family unit","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
"secs12_12","Integer","","Recommended","Please indicate the extent to which you feel positive or negative towards: Patriotism","0::100","0 = Very Negative; 50 = Neutral; 100 = Very Positive",""
