"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"child_sat1","Integer","","Recommended","I got along with this doctor.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat2","Integer","","Recommended","The doctor explained things s/he did to me during the checkup.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat3","Integer","","Recommended","I could talk to the doctor like a friend.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat4","Integer","","Recommended","This doctor helped me learn how to take care of myself.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat5","Integer","","Recommended","The doctor let me say how I felt about the things s/he did to me.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat6","Integer","","Recommended","This doctor knows what it's like to be my age.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat7","Integer","","Recommended","This doctor understood what I was trying to say.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat8","Integer","","Recommended","The doctor asked me questions about the things I like to do.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat9","Integer","","Recommended","The doctor explained things so I could remember them.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat10","Integer","","Recommended","The doctor I just saw cared about how I felt.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat11","Integer","","Recommended","The doctor I saw today helped me feel calm.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
"child_sat12","Integer","","Recommended","When I was done seeing the doctor, I felt better about my health.","1::5; 99","1=Never; 2=Not often; 3=Sometimes; 4=Often; 5=Very often; 99=Missing",""
