"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hs_elated","Integer","","Recommended","Have you felt elated (high or unusually cheerful)?","0::2","0=No; 1=Yes, a little; 2=Yes, a lot",""
"hs_elated_mon","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Monday","0;1","0=No; 1=Yes",""
"hs_elated_tue","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Tuesday","0;1","0=No; 1=Yes",""
"hs_elated_wed","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Wednesday","0;1","0=No; 1=Yes",""
"hs_elated_thu","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Thursday","0;1","0=No; 1=Yes",""
"hs_elated_fri","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Friday","0;1","0=No; 1=Yes",""
"hs_elated_sat","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Saturday","0;1","0=No; 1=Yes",""
"hs_elated_sun","Integer","","Recommended","Have you felt elated (high or unusually cheerful)? On which days were these feelings present? Sunday","0;1","0=No; 1=Yes",""
"hs_active","Integer","","Recommended","Have you felt more active than usual?","0::2","0=No; 1=Yes, a little; 2=Yes, a lot",""
"hs_active_mon","Integer","","Recommended","Have you felt more active than usual? On which days were these feelings present? Monday","0;1","0=No; 1=Yes",""
"hs_active_tue","Integer","","Recommended","Have you felt more active than usual? On which days were these feelings present? Tuesday","0;1","0=No; 1=Yes",""
"hs_active_wed","Integer","","Recommended","Have you felt more active than usual? On which days were these feelings present? Wednesday","0;1","0=No; 1=Yes",""
"hs_active_thu","Integer","","Recommended","Have you felt more active than usual? On which days were these feelings present? Thursday","0;1","0=No; 1=Yes",""
"hs_active_fri","Integer","","Recommended","Have you felt more active than usual? On which days were these feelings present? Friday","0;1","0=No; 1=Yes",""
