"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subj"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","BQDate,ecbq_doc"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bq001","Integer","","Recommended","1. react with anger?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_1_reactanger"
"bq002","Integer","","Recommended","2. get irritable?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_1,q_2_irritable�"
"bq003","Integer","","Recommended","3. remain calm?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_3_calm"
"bq004","Integer","","Recommended","4. pull back and avoid the person?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_2,q_4_pullback"
"bq005","Integer","","Recommended","5. cling to a parent?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_1,ecbq_3,q_5_clingparent�"
"bq006","Integer","","Recommended","6. startle at loud noises?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_6_loundsound"
"bq007","Integer","","Recommended","7. tap or drum with fingers on tables or other objects?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_4,q_7_tapdrum�"
"bq008","Integer","","Recommended","8. get irritated by scratchy sounds?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_8_scratchysound�"
"bq009","Integer","","Recommended","9. become uncomfortable when his/her socks were not aligned properly on his/her feet?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_5,q_9_socksunaligned"
"bq010","Integer","","Recommended","10. forget about it in a few minutes?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_10_forget�"
"bq011","Integer","","Recommended","11. like making lots of noise?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_11_lotofnoise�"
"bq012","Integer","","Recommended","12. enjoy sitting quietly in the sunshine?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_9,q_12_quietsun�"
"bq013","Integer","","Recommended","13. want to climb to high places?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_13_climb"
"bq014","Integer","","Recommended","14. like to be held?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_14_held�"
"bq015","Integer","","Recommended","15. push against you until put down?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_13,q_15_push�"
"bq016","Integer","","Recommended","16. squirm?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_16_squirm�"
"bq017","Integer","","Recommended","17. struggle to get away?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_17_strugglegetaway"
"bq018","Integer","","Recommended","18. snuggle up next to you?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_14,q_18_snuggle"
"bq019","Integer","","Recommended","19. get easily irritated?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_2,ecbq_15,q_19_easyirritate�"
"bq020","Integer","","Recommended","20. become sad?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_20_sad"
"bq021","Integer","","Recommended","21. engage in an activity with the child?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_21_engageactivity�"
"bq022","Integer","","Recommended","22. seek out the company of the child?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_16,q_22_seekcompany"
"bq023","Integer","","Recommended","23. stop and think before deciding?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_17,q_23_stopthink"
"bq024","Integer","","Recommended","24. decide what to do very quickly and go after it?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_4,ecbq_18,q_24_decidequick"
"bq025","Integer","","Recommended","25. seem slow and unhurried about what to do next?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_25_slow�"
"bq026","Integer","","Recommended","26. run around your house or apartment anyway?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_26_runaround"
"bq027","Integer","","Recommended","27. touch an attractive item (such as an ornament) anyway?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_19,q_27_touchattractiveitem"
"bq028","Integer","","Recommended","28. play with something anyway?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_28_playsomething"
"bq029","Integer","","Recommended","29. enjoy just being quietly sung to?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_5,ecbq_20,q_29_enjoysong"
"bq030","Integer","","Recommended",""" 30. smile at the sound of words, as in nursery rhymes?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_21,q_30_smilerhymes"
"bq031","Integer","","Recommended","31. enjoy just being talked to?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_22,q_31_enjoytalk"
"bq032","Integer","","Recommended",""" 32. enjoy rhythmic activities, such as rocking or  swaying? ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_23,q_32_enjoyrhythm"
"bq033","Integer","","Recommended","33. become distressed when his/her hands were dirty and/or sticky?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_6,q_33_distressdirty"
