"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cit_scale_1","Integer","","Recommended","There are people I can depend on to help me","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_2","Integer","","Recommended","There are people who give me support and encouragement","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_3","Integer","","Recommended","There are people who appreciate me as a person","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_4","Integer","","Recommended","I pitch in to help when my local community needs something done","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_5","Integer","","Recommended","I invite my neighbors to my home","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_6","Integer","","Recommended","I look for ways to help my neighbors when they are in need","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_7","Integer","","Recommended","I can trust people in my society","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_8","Integer","","Recommended","People in my neighborhood can be trusted","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_9","Integer","","Recommended","Most people I meet are honest","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_10","Integer","","Recommended","People respect me","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_11","Integer","","Recommended","People are polite to me","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_12","Integer","","Recommended","I am treated with the same amount of respect as others","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_13","Integer","","Recommended","I feel lonely","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_14","Integer","","Recommended","I often feel left out","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_15","Integer","","Recommended","There is no one I feel close to","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_16","Integer","","Recommended","I feel a sense of belonging in my community","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_17","Integer","","Recommended","I feel a sense of belonging in my state or province","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_18","Integer","","Recommended","I feel a sense of belonging in my country","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_19","Integer","","Recommended","I get fully absorbed in activities I do","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_20","Integer","","Recommended","In most activities I do, I feel energized","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_21","Integer","","Recommended","I get excited when I work on something","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_22","Integer","","Recommended","I use my skills a lot in my everyday life","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_23","Integer","","Recommended","I frequently use my talents","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"cit_scale_24","Integer","","Recommended","I get to do what I am good at everyday","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
