"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dul_gru","Integer","","Required","","Use of the data is limited only by the terms of the Data Use Certification.
","0;1","0=No; 1=Yes.",""
"dul_hmb","Integer","","Required","","Use of the data is limited to health/medical/biomedical purposes, does not include the study of population origins or ancestry.","0;1","0=No; 1=Yes",""
"dul_ds","Integer","","Required","","Use of the data must be related to the specified disease.
","0;1","0=No; 1=Yes",""
"dul_ds_text","String","100","Conditional","dul_ds == 1","List disease","","",""
"dul_other","Integer","","Required","","Other data use limitation","0;1","0=No; 1=Yes",""
"dul_other_text","String","100","Conditional","dul_other==1","Enter customized text","","",""
"dulm_irb","Integer","","Required","","IRB approval required. Requestor must provide documentation of local IRB approval.","0;1","0=No; 1=Yes",""
"dulm_pub","Integer","","Required","","Publication required. Requestor agrees to make results of studies using the data available to the larger scientific community","0;1","0=No; 1=Yes",""
"dulm_col","Integer","","Required","","Collaboration required. Requestor must provide a letter of collaboration with the primary study investigator(s).","0;1","0=No; 1=Yes",""
"dulm_npu","Integer","","Required","","Not-for-profit use only. Use of the data is limited to not-for-profit organizations","0;1","0=No; 1=Yes",""
"dulm_mds","Integer","","Required","","Methods. Use of the data includes methods development research (e.g., development of software or algorithms)","0;1","0=No; 1=Yes",""
"dulm_gso","Integer","","Required","","Genetic studies only. Use of the data is limited to genetic studies only","0;1","0=No; 1=Yes",""
