"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pes_pos1","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Clothes/Shoes don't fit","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos2","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Your weight","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos3","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Getting enough sleep","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos4","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Baby Showers for you","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos5","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Baby's sex","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos6","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Ability to do physical tasks/chores","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos7","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Driving a car","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos8","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Making or thinking about nursery arrangements","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos9","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Purchasing infant equipment","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos10","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Childbirth classes","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos11","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Visits to obstetrician/midwife","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos12","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Body changes due to pregnancy","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos13","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Physical intimacy","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos14","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Normal discomforts of pregnancy (heartburn, incontinence)","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos15","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Concerns about physical symptoms (pain, spotting, etc.)","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos16","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with spouse about baby names","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos17","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with own family about baby name","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos18","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with in-laws about baby names","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos19","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with spouse about pregnancy/childbirth issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos20","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with own family about pregnancy/childbirth issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos21","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with in-laws about pregnancy/childbirth issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos22","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with spouse about childcare/childrearing issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos23","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with own family about childcare/childrearing issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos24","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Discussions with in-laws about childcare/childrearing issues","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos25","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Impact of pregnancy/new baby on dealings with other children","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos26","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Changes in parenting due to pregnancy","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos27","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Comments from others about your pregnancy/appearance","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos28","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Other people touching your abdomen","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos29","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Other women telling you about their experiences with labor and delivery","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pes_pos30","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Thinking about your labor and delivery","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
"pesb_pos31","Integer","","Recommended","How much has this made you feel happy, positive, or uplifted? Courtesy/assistance from others because you''re pregnant","0::3","0=Not at all; 1=Somewhat; 2=Quite a bit; 3=A great deal",""
