"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aarrsi01","Integer","","Recommended","You hear about a racially motivated murder of an Asian American man.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi02","Integer","","Recommended","You hear that Asian Americans are not significantly represented in management positions.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi03","Integer","","Recommended","You are told that Asians have assertiveness problems.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi04","Integer","","Recommended","You notice that Asian characters in American TV shows either speak bad or heavily accidented English.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi05","Integer","","Recommended","You notice that in American movies, male Asian leading characters never engage in physical contact (kissing, etc.) with leading female characters even when the plot would seem to call for it.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi06","Integer","","Recommended","Someone tells you that the kitchens of Asian families smell and are dirty.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi07","Integer","","Recommended","You notice that U.S. history books offer no information of the contributions of Asian Americans.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi08","Integer","","Recommended","You see a TV commercial in which an Asian character speaks bad English and acts subservient to non-Asian characters.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi09","Integer","","Recommended","You hear about an Asian American government scientist held in solidary confinement for mishandling government documents when his non-Asian coworkers were not punished for the same offence.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi10","Integer","","Recommended","You learn that Asian Americans historically were targets of racist actions.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi11","Integer","","Recommended","You learn that most non-Asian Americans are ignorant of the oppression and racial prejudice Asian Americans have endured in the U.S.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi12","Integer","","Recommended","At a restaurant you notice that a White couple who came in after you is served before you.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi13","Integer","","Recommended","You learn that, while immigration quotas on Asian people were severely restricted until the later half of the 1900s, quotas for European immigrants were not.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi14","Integer","","Recommended","Someone tells you that it's the Blacks that are the problem, not the Asians.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi15","Integer","","Recommended","A student you do not know asks you for help in math.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi16","Integer","","Recommended","Someone tells you that they learned there is a gene that makes Asians smart.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi17","Integer","","Recommended","Someone asks if you know his or her Asian/Asian American friend/coworker/classmate.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi18","Integer","","Recommended","Someone assumes that they serve dog meat in Asian restaurants.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi19","Integer","","Recommended","Someone tells you that your Asian American female friend looks just like Connie Chung.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
"aarrsi20","Integer","","Recommended","Someone you do not know speaks slow and loud at you or your family.","1::5","1= This has never happened to me; 2= This event happened but did not bother me; 3= This event happened and I was slightly bothered; 4= This event happened and I was upset; 5= This event happened and I was extremely upset.",""
