"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"iofs1","Integer","","Recommended","My social support network member didn't think that I was handling the situation in the right way","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs2","Integer","","Recommended","My social support network member thought that it was taking too long for me to get over it","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs3","Integer","","Recommended","My social support network member didn't think I was coping well with the assault","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs4","Integer","","Recommended","My social support network member didn't think I was putting in enough effort to cope with the assault","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs5","Integer","","Recommended","My social support network member did not know what to do to help me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs6","Integer","","Recommended","My social support network member did not know enough about this experience to help me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs7","Integer","","Recommended","My social support network member was unsure about what I needed","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs8","Integer","","Recommended","My social support network member did not know how to act towards me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs9","Integer","","Recommended","My social support network member felt uncomfortable talking to me about my experiences","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs10","Integer","","Recommended","My social support network member felt their efforts could cause me more harm","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs11","Integer","","Recommended","My social support network member could imagine being in my place","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs12","Integer","","Recommended","My social support network member felt that their efforts did not help me","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs13","Integer","","Recommended","My social support network member was able to empathize with my emotions","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
"iofs14","Integer","","Recommended","My social support network member felt that they were not supportive enough","1::6","1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; 6=Prefer not to answer",""
