"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"licq1","Integer","","Recommended","Mornings are a lonely time for me.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq2","Integer","","Recommended","I am lonely in the evening.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq3","Integer","","Recommended","My place of residence is a lonely place for me.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq4","Integer","","Recommended","My free time is a lonely time for me.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq5","Integer","","Recommended","I feel sad and alone on weekends.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq6","Integer","","Recommended","I am lonely with other people.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq7","Integer","","Recommended","I feel sad and alone at social events.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq8","Integer","","Recommended","I am lonely during meal times.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq9","Integer","","Recommended","I feel sad and alone when I am running errands.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
"licq10","Integer","","Recommended","Bedtime is a lonely time for me.","1::5","1 = Never; 2; 3 = Sometimes; 4; 5 = Always",""
