"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"familism1","Integer","","Recommended","One should make great sacrifices in order to guarantee a good education for his/her children.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism2","Integer","","Recommended","One should help economically with the support of younger brothers or sisters.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism3","Integer","","Recommended","I would help within my means if a relative told me that he/she is in financial difficulty.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism4","Integer","","Recommended","One should have the hope of living long enough to see his/her grandchildren grow up.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism5","Integer","","Recommended","Aging parents should live with their relatives.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism6","Integer","","Recommended","A person should share his/her home with uncles, aunts, or first cousins if they are in need.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism7","Integer","","Recommended","When someone has problems he/she can count on help from his/her relatives.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism8","Integer","","Recommended","When one has problems, one can count on the help of relatives.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism9","Integer","","Recommended","One can count on help from his/her relatives to solve most problems.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism10","Integer","","Recommended","Much of what a son or daughter does should be done to please the parents.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism11","Integer","","Recommended","The family should consult close relatives (uncles, aunts) concerning its important decisions.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism12","Integer","","Recommended","One should be embarrassed about the bad things done by his/her brothers or sisters.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism13","Integer","","Recommended","Children should live in their parents' house until they get married.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism14","Integer","","Recommended","One of the most important goals in life is to have children.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
"familism15","Integer","","Recommended","When a person hires an assistant, it is better to select a relative than a stranger.","1::5;77;88;99","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Disagree Nor Agree; 4 = Agree; 5 = Strongly Agree; 77=Don't know; 88=Refused; 99 = Prefer not to answer",""
