"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bern_post_01","Integer","","Recommended","The relationship with my therapist felt comfortable today (Global alliance)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_02","Integer","","Recommended","I feel that I understand myself and my problems better. (Clarification experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_03","Integer","","Recommended","We got closer to the core of my problems today. (Clarification experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_04","Integer","","Recommended","We really made some progress today in therapy today. (Therapy progress)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_05","Integer","","Recommended","The therapist let me feel my own strengths. (Self esteem experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_06","Integer","","Recommended","Today it became clearer to me why I react in a certain way and not differently towards certain people. (Clarification experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_07","Integer","","Recommended","My therapist and I understand each other. (Global alliance)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_08","Integer","","Recommended","I think my therapist should pay more attention to my feelings. (Discontentment with the bond)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_09","Integer","","Recommended","I think my therapist is genuinely concerned about my well-being. (Global alliance)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_10","Integer","","Recommended","At the moment, the therapist supports my views of how I would like to be. (Self esteem experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_11","Integer","","Recommended","I'm more confident now that I can solve my problems on my own. (Mastery experiences)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
"bern_post_12","Integer","","Recommended","I find my therapist's perception of my problems too simplistic. (Discontentment with the bond)","-3::3","-3 = Not at all; -2 = No; -1 = Rather no; 0 = Neither; 1 = Rather yes; 2 = Yes; 3 = Yes, exactly",""
