"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"m1_sas_1","Integer","","Recommended","Missing planned work due to smartphone use","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_2","Integer","","Recommended","Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_3","Integer","","Recommended","Experiencing lightheadedness or blurred vision due to excessive smartphone use","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_4","Integer","","Recommended","Feeling pain in the wrists or at the back of the neck while using a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_5","Integer","","Recommended","Feeling tired and lacking adequate sleep due to excessive smartphone use","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_6","Integer","","Recommended","Feeling calm or cozy while using a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_7","Integer","","Recommended","Feeling pleasant or excited while using a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_8","Integer","","Recommended","Feeling confident while using a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_9","Integer","","Recommended","Being able to get rid of stress with a smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
"m1_sas_10","Integer","","Recommended","There is nothing more fun to do than using my smartphone","1::6","1 = Strongly Disagree; 2 = Disagree; 3 = Slightly Disagree; 4 = Agree; 5 = Slightly Agree; 6 = Strongly Agree",""
