"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"secvb_1","Integer","","Recommended","How many times has someone taken something from you (for example, cash or property) using force or threat of force?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_2","Integer","","Recommended","How many times have you been chased by gangs or individuals?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_3","Integer","","Recommended","How many times have you seen someone else being chased by gangs or individuals?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_4","Integer","","Recommended","How many times have you seen someone else being picked up, arrested, or taken away by the police?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_5","Integer","","Recommended","How many times have you been threatened with serious physical harm by someone?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_6","Integer","","Recommended","How many times have you seen someone else being threatened with serious physical harm?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_7","Integer","","Recommended","How many times have you been slapped, punched, or hit by someone?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_8","Integer","","Recommended","How many times have you seen someone else being slapped, punched, or hit by someone?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_9","Integer","","Recommended","How many times have you been beaten up or mugged?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
"secvb_10","Integer","","Recommended","How many times have you seen someone else getting beaten up or mugged?","1::8; 999","0 = Never; 1 = 1 time; 2 = 2 times; 3 = 3 or 4 times; 4 = 5 or 6 times; 5 = 7 or 8 times; 6 = At least once a month; 7 = At least once a week; 8 = Almost every day; 999 = Prefer not to respond",""
