"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bipaum_obabi1","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to be bothered by helping your friend.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi2","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't think it's your place to step in.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi3","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't know the best way to help.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi4","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't think your attempt to help will work.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi5","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to be perceived by others as uptight or pessimistic (i.e., a debbie downer or party pooper).","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi6","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: Other people don't seem concerned about your friend.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi7","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You're unsure whether your friend is in danger.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi8","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to be confrontational or cause a scene.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi9","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: Your friend acts aggressively toward you when you try to help.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi10","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: Your friend refuses your help (e.g., refuses to leave).","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi11","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't know where the ''tools'' to help are (e.g., the bathroom, water, a place to sleep).","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi12","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't know the friend very well.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi13","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: There are a lot of distractions in the environment.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi14","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You're intoxicated.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi15","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to take your friend to the hospital because of the associated costs (e.g., ambulance ride, hospital bills).","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi16","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You or others in the environment fear or don't trust the police so you don't want to call emergency services.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi17","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to call a taxi or rideshare (e.g., Uber, Lyft) because they are expensive.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi18","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want anyone to get in trouble.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi19","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You're worried others (e.g., their significant other or roommate) might be mad at your friend if you ask them for help.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi20","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You had a bad experience helping a friend that was drinking in the past.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi21","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You don't want to embarrass your friend.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
"bipaum_obabi22","Integer","","Recommended","How confident are you that you could help a friend who is drinking in a manner or situation that worries you, even if: You fear your actions will cause conflict in your friendships.","1::5; 9999","1=Not at all confident; 2=Slightly confident; 3=Moderately confident; 4=Very confident; 5=Extremely confident; 9999=Missing data",""
