"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"saia_mh_q1","Integer","","Recommended","If you were trying to improve mental health services in your clinic, how confident do you feel that you know what are the main issues to focus on?","0::3;99","0= Not at all confident; 1=A little confident; 2=Somewhat confident; 3= Very confident; 99=missing",""
"saia_mh_q2","Integer","","Recommended","If you were trying to improve mental health services in your clinic, how confident do you feel that you know what area(s) to focus on first?","0::3;99","0= Not at all confident; 1=A little confident; 2=Somewhat confident; 3= Very confident; 99=missing",""
"saia_mh_q3","Integer","","Recommended","How confident are you in coming up with solutions to problems in mental healthcare at your health facility?","0::3;99","0= Not at all confident; 1=A little confident; 2=Somewhat confident; 3= Very confident; 99=missing",""
"saia_mh_q4","Integer","","Recommended","How confident are you in implementing solutions to problems in mental healthcare at your health facility?","0::3;99","0= Not at all confident; 1=A little confident; 2=Somewhat confident; 3= Very confident; 99=missing",""
"saia_mh_q5","Integer","","Recommended","How confident are you in tracking and/or measuring whether solutions have worked to solve problems in mental healthcare at your health facility?","0::3;99","0= Not at all confident; 1=A little confident; 2=Somewhat confident; 3= Very confident; 99=missing",""
"saia_mh_q6","Integer","","Recommended","Leadership at this health facility thinks my work on mental healthcare is important.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q7","Integer","","Recommended","Leadership at this health facility is supportive of me trying new things to improve mental healthcare.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q8","Integer","","Recommended","I understand the barriers patients face in accessing mental healthcare at this health facility, staying engaged in mental healthcare and ultimately recovering from their symtpoms.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q9","Integer","","Recommended","I feel like I am working alone with little support.","0::3;99","0=Very much; 1=Somewhat; 2=A little; 3=Not at all ; 99=missing",""
"saia_mh_q10","Integer","","Recommended","I feel I am part of a team working together for a common goal.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q11","Integer","","Recommended","I only do this work to earn money but I would not say I enjoy it.","0::3;99","0=Very much; 1=Somewhat; 2=A little; 3=Not at all ; 99=missing",""
"saia_mh_q12","Integer","","Recommended","I am willing to put in extra effort to ensure patients get the best quality mental healthcare.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q13","Integer","","Recommended","I am so overwhelmed with my work that it is hard to take anything else on.","0::3;99","0=Not at all; 1=A little; 2=Somewhat; 3=Very much; 99=missing",""
"saia_mh_q14","Integer","","Recommended","No one seems to care about the quality of my work.","0::3;99","0=Strongly agree; 1=Agree; 2=Disagree; 3=Strongly disagree; 99=missing",""
"saia_mh_q15","Integer","","Recommended","I have all of the skills that I need in order to adequately treat the patients I see in our clinic.","0::3;99","0=Strongly disagree; 1=Disagree; 2=Agree; 3=Strongly agree; 99=missing",""
