"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pn_mr1","Integer","","Recommended","I have made faces and smiled at my baby and watched for my baby''s response to me","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi01"
"pn_mr2","Integer","","Recommended","I believe my baby wants me to touch her/him too often.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr3","Integer","","Recommended","I have seen my baby respond to my playing with him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi02"
"pn_mr4","Integer","","Recommended","I believe that I can comfort my baby when she/he cries.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi03"
"pn_mr5","Integer","","Recommended","I have seen my baby respond to my talking to him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi04"
"pn_mr6","Integer","","Recommended","I believe I know when my baby wants to play.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi05"
"pn_mr7","Integer","","Recommended","I have seen my baby respond to my comforting him/her","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi06"
"pn_mr8","Integer","","Recommended","I believe I know when my baby wants me to feed him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi07"
"pn_mr9","Integer","","Recommended","I have watched my baby respond to my  to feeding him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi08"
"pn_mr10","Integer","","Recommended","I think I sometimes respond slowly to my baby.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi09"
"pn_mr11","Integer","","Recommended","I believe my baby responds well to my holding him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi10"
"pn_mr12","Integer","","Recommended","I have watched my baby respond to my touching him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr13","Integer","","Recommended","I believe my baby wants me to play with her/him.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr14","Integer","","Recommended","I am afraid of my baby''s appearance.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr15","Integer","","Recommended","I believe my baby wants me to comfort her/him too often.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr16","Integer","","Recommended","I believe my baby wants me to talk to her/him.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr17","Integer","","Recommended","I feel good about how I respond to my baby.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi11"
"pn_mr18","Integer","","Recommended","I feel good about how my baby responds to me.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi12"
"pn_mr19","Integer","","Recommended","I believe I know when my baby needs me to feed him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi13"
"pn_mr20","Integer","","Recommended","I feel afraid to care for my baby.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
"pn_mr21","Integer","","Recommended","I like the way my baby responds to me when I play with him/her.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree","mi14"
"pn_mr22","Integer","","Recommended","I believe my baby wants me to hold her/him too often.","1::5","1= Strongly Disagree; 2= Disagree; 3= Somewhat Agree; 4= Agree; 5= Strongly Agree",""
