"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sex_health_2","Integer","","Recommended","If a person has taken the pill for two years= they will have a more difficult time getting pregnant= compared to someone who has never used the pill.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_3","Integer","","Recommended","In terms of preventing pregnancy= antibiotics do not reduce the effectiveness of birth control pills.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_4","Integer","","Recommended","It is possible for two people to get HIV/AIDS by performing oral sex on one another.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_5","Integer","","Recommended","The middle of a menstrual cycle is a safe time to have sex and avoid pregnancy.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_6","Integer","","Recommended","A person with a uterus ovulates 14 days after her last period.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_7","Integer","","Recommended","A diaphragm should be removed one hour after sexual intercourse.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_8","Integer","","Recommended","Norplant is the most effective= reversible form of birth control in the United States.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_9","Integer","","Recommended","You can get HIV/AIDS by donating (giving) blood.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_10","Integer","","Recommended","An HIV/AIDS test may not be able to detect the HIV virus until 6 months after infection.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_11","Integer","","Recommended","The incubation period for HIV/AIDS (the time from infection until obvious symptoms of sickness begin) is usually about two years.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_12","Integer","","Recommended","You cannot get HIV/AIDS from heterosexual (penetrative= penis/vagina) sex.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_13","Integer","","Recommended","Fertilization of the egg by the sperm (conception) occurs in the uterus.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_14","Integer","","Recommended","Sperm remain capable of fertilization for up to 72 hours (3 days).","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
"sex_health_15","Integer","","Recommended","Using Vaseline or petroleum jelly is a good way to increase the effectiveness of a condom.","1::4","1= True ; 2= False ; 3= Unsure ; 4= Prefer not to answer",""
