"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fats_1","Integer","","Recommended","In the past week, how often did you change your thinking to be more realistic and helpful?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_2","Integer","","Recommended","In the past week, how often did you reframe a negative situation into a more positive one?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_3","Integer","","Recommended","In the past week, how often did you stop yourself from thinking unhelpful or unrealistic thoughts?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_4","Integer","","Recommended","In the past week, how often did you talk about your day with a friend or a family member?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_5","Integer","","Recommended","In the past week, how often did you have a meaningful conversation with someone?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_6","Integer","","Recommended","In the past week, how often did you talk with a friend or family member on the phone?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_7","Integer","","Recommended","In the past week, how often did you work on a project that was meaningful to you?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_8","Integer","","Recommended","In the past week, how often did you do something that was very satisfying for you?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_9","Integer","","Recommended","In the past week, how often did you do a hobby or personal interest on your own?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_10","Integer","","Recommended","In the past week, how often did you aim to spend time with positive people?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_11","Integer","","Recommended","In the past week, how often did you plan a pleasant activity to make you feel better?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
"fats_12","Integer","","Recommended","In the past week, how often did you plan to do something to motivate yourself?","0::4;77","0=Not at all; 1=One or two days; 2=Half the days; 3=Almost every day; 4=Every day; 77=Refused",""
