"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sabr_a2_01","Integer","","Recommended","In America, I am viewed with suspicion because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_02","Integer","","Recommended","In America, I am overlooked because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_03","Integer","","Recommended","In America, I am treated differently because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_04","Integer","","Recommended","In America, I am faced with barriers in society because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_05","Integer","","Recommended","In America, I find it difficult to date some people because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_06","Integer","","Recommended","In America, I am called names such as ''chink, gook, etc'' because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_07","Integer","","Recommended","In America, I am made fun of because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_08","Integer","","Recommended","In America, I am told ''you speak English so well'' because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_09","Integer","","Recommended","In America, I have been physically assaulted because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
"sabr_a2_10","Integer","","Recommended","In America, I am expected to excel in academics because I am Asian/Asian American.","1::5","1= Almost never; 5= Almost always",""
