"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cbt_skills","Integer","","Recommended","Self-rating Cognitive Behavioral Therapy skills","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"cbt_allegiance","Integer","","Recommended","Degree of allegiance to Cognitive Behavioral Therapy approach","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"ft_skills","Integer","","Recommended","Self-rating Family Therapy skills","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"ft_allegiance","Integer","","Recommended","Degree of allegiance to Family Therapy approach","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"ft_importance1","Integer","","Recommended","Degree of importance for my personal caseload to include family in sessions and other treatment activities","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"ft_importance2","Integer","","Recommended","Degree of importance for my personal caseload to learn or review Family Therapy techniques","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"mi_skills","Integer","","Recommended","Self-rating of motivational interviewing skills","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"mi_allegiance","Integer","","Recommended","Degree of allegiance to motivational interviewing approach","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"dc_skills","Integer","","Recommended","Self-rating of drug counseling skills","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"dc_allegiance","Integer","","Recommended","Degree of allegiance to drug counseling approach","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"counseling_skills","Integer","","Recommended","Self-rating of general counseling skills with adolescent clients","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"computer_skills1","Integer","","Recommended","To what degree are you comfortable using computers for personal use","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"computer_skills2","Integer","","Recommended","To what degree are you comfortable using computers for professional educational activities","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"computer_skills3","Integer","","Recommended","To what degree are you comfortable using computers for clinical purposes","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"web_skills","Integer","","Recommended","Self-rating of skills at using web-based tools and programs","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
"data_skills","Integer","","Recommended","Self-rating of skills at reading and understanding data graphs and figures","1::5","1 = None; 2 = A little; 3 = Moderate; 4 = Considerable; 5 = High",""
