"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fis_attractiveness","Integer","","Recommended","What are your impressions of your activity partner's: Attractiveness","0::3","0=Not at all; 1=Somewhat; 2=Moderate; 3=Very",""
"fis_awkwardness","Integer","","Recommended","What are your impressions of your activity partner's: Awkwardness","0::3","0=Not at all; 1=Somewhat; 2=Moderate; 3=Very",""
"fis_intelligence","Integer","","Recommended","What are your impressions of your activity partner's: Intelligence","0::3","0=Not at all; 1=Somewhat; 2=Moderate; 3=Very",""
"fis_likeability","Integer","","Recommended","What are your impressions of your activity partner's: Likeability","0::3","0=Not at all; 1=Somewhat; 2=Moderate; 3=Very",""
"fis_trustworthiness","Integer","","Recommended","What are your impressions of your activity partner's: Trustworthiness","0::3","0=Not at all; 1=Somewhat; 2=Moderate; 3=Very",""
"fis_dominant","Integer","","Recommended","My partner in this activity seems to be.... (submissive/dominant)","0::3","0=Very submissive; 1=Somewhat submissive; 2=Somewhat dominant; 3=Very dominant",""
"fis_live","Integer","","Recommended","How willing would you be to live near your partner from this activity?","0::3","0=Not at all willing; 1=A little willing; 2=Somewhat willing; 3=Very willing",""
"fis_hangout","Integer","","Recommended","How likely would you be to hang out in your free time with your partner from this activity?","0::3","0=Not at all likely; 1=A little likely; 2=Somewhat likely; 3=Very likely",""
"fis_sit","Integer","","Recommended","How comfortable would you be to sit next to your partner from this activity?","0::3","0=Not at all comfortable; 1=A little comfortable; 2=Somewhat comfortable; 3=Very comfortable",""
"fis_conv","Integer","","Recommended","How likely would you be to start a conversation with your partner from this activity?","0::3","0=Not at all likely; 1=A little likely; 2=Somewhat likely; 3=Very likely",""
