"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"alq001","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Having a conversation with another person","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq002","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Attending a cultural event (e.g., concert, theatre, performance, art show).","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq003","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Dancing","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq004","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Gardening","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq005","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Shopping","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq006","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Performing a hobby (e.g., painting, crafts, woodwork, photography).","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq007","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Reading","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq008","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Engaging in sexual activity","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq009","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Watching television or a video tape/DVD","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq010","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Attending a sporting event","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq011","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Going to a club or bar","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq012","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Participating in aerobic exercise (e.g., running, swimming, biking).","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq013","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Going to work or school","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq014","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Taking a walk","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
"alq015","Integer","","Recommended","The following is a list of activities, events, and experiences. For the time frame of the last 30 days, please rate how often you have engaged in each activity when you were NOT drinking alcohol. Going to a religious service or meeting","0::4","0 = 0 times; 1 = Once a week or less; 2 = 2-4 times per week; 3 = About once a day; 4 = More than once a day",""
