"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ice_01","Integer","","Recommended","I feel angry that the political and economic system that we live in harms the climate","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_02","Integer","","Recommended","I am outraged that politicians allowed climate change to come this far.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_03","Integer","","Recommended","I feel outraged at corporations that harm the climate.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_04","Integer","","Recommended","I feel anger when I think of politicians who delay efforts to mitigate climate change.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_05","Integer","","Recommended","The increasing public engagement with climate change gives me hope.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_06","Integer","","Recommended","I believe that there are emerging solutions that will allow us to stop climate change.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_07","Integer","","Recommended","Concrete actions for the climate allow me to be optimistic about the future.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_08","Integer","","Recommended","Social mobilization in the fight against climate change makes me feel that together we can achieve this goal","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_09","Integer","","Recommended","Thinking about climate change makes me fear for the future of our children.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_10","Integer","","Recommended","I am overwhelmed by the awareness of the approaching climate disaster.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_11","Integer","","Recommended","Everything seems uncertain because of climate change.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_12","Integer","","Recommended","I fear how climate change will affect me and my loved ones","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_13","Integer","","Recommended","The thought of so many species going extinct under the pressure of climate change fills me with sorrow.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_14","Integer","","Recommended","The thought that the world I know is disappearing forever because of climate change makes me sad.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_15","Integer","","Recommended","I feel sorry about the possibilities we are losing forever because of climate change.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
"ice_16","Integer","","Recommended","I am sad that so many living creatures suffer because of climate change.","1::5","1 = Strongly disagree; 2 = Somewhat disagree; 3 = Neither agree nor disagree; 4 = Somewhat agree; 5 = Strongly agree",""
