"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cast_q1","Integer","","Recommended","I was purposely mean to some people in high school","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q2","Integer","","Recommended","I enjoy making jokes at the expense of others","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q3","Integer","","Recommended","I have purposely tricked someone and laughed when they looked foolish","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q4","Integer","","Recommended","When making fun of someone, it is especially amusing if they realize what I'm doing","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q5","Integer","","Recommended","Perhaps I shouldn't have, but I never got tired of mocking certain classmates","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q6","Integer","","Recommended","I would never purposely humiliate someone","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q7","Integer","","Recommended","I enjoy physically hurting people","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q8","Integer","","Recommended","I enjoy tormenting people","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q9","Integer","","Recommended","I have the right to push certain people around","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q10","Integer","","Recommended","I have dominated others using fear","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q11","Integer","","Recommended","I enjoy hurting my partner during sex (or pretending to)","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q12","Integer","","Recommended","In video games, I like the realistic blood spurts","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q13","Integer","","Recommended","I love to watch YouTube clips of people fighting","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q14","Integer","","Recommended","I enjoy watching cage fighting (or MMA), where there is no escape","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q15","Integer","","Recommended","I sometimes replay my favorite scenes from gory slasher films","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q16","Integer","","Recommended","There's way too much violence in sports","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q17","Integer","","Recommended","I enjoy playing the villain in games and torturing other characters","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q18","Integer","","Recommended","In professional car-racing, it's the accidents that I enjoy most","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q19","Integer","","Recommended","By staying strong, one can better help others","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q20","Integer","","Recommended","I'm considered to be a kind person","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q21","Integer","","Recommended","I'd do anything, even break the law, for those I love","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q22","Integer","","Recommended","I have ambitions to make the world a better place","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q23","Integer","","Recommended","I am a religious person","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
"cast_q24","Integer","","Recommended","I have had some really good friends","1::7; -99; -88","1=Strongly disagree; 4=Neither agree nor disagree; 7=Strongly agree; -99=Missing; -88=Don't know",""
