"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hitop_50","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - When I had the chance, I chose to be alone rather than with other people.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_626","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - Interacting with others was not very important to me.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_649","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I did not feel like spending time with people.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_657","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I was happiest when I was alone.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_659","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I preferred to stay home than to go to a party.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_344","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I felt shy around other people.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_345","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I had difficulty making eye contact with others.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_348","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I was uncomfortable meeting new people.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_349","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I avoided performing or giving a talk in front of others.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
"hitop_355","Integer","","Recommended","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you - I got anxious when others were watching me.","1::4;-1","1 = Not at all; 2 = A little; 3 = Moderately; 4 = A lot; -1 = Missing",""
