"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bipaum_bali1","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are behaving in a way they wouldn't behave if sober.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali2","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Had planned to stay sober and are now drinking.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali3","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Have consumed an amount of alcohol that you think is too much.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali4","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Intentionally did not eat before drinking.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali5","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are slurring their speech or speaking incoherently.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali6","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Have slowed reaction times (e.g., drop drinks, trip).","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali7","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are passed out, unconscious, or unresponsive.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali8","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are vomiting.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali9","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are driving or trying to drive after drinking.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali10","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are unable to stand, walk, or keep their head up.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali11","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Urinate on themself.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali12","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are trying to flirt with or take advantage of an extremely drunk person.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali13","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are trying to be sexual with someone they don't know or wouldn't be sexual with if they were sober.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali14","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are making unwanted sexual comments or advances toward someone.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali15","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are being taken to a different location by someone you think might hurt/take advantage of them.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
"bipaum_bali16","Integer","","Recommended","How likely are you to help a friend if they are drinking and they: Are threatening to hurt or kill themself or others.","1::5; 9999","1=Not at all likely; 2=Slightly likely; 3=Moderately likely; 4=Very likely; 5=Extremely likely; 9999=Missing data",""
